NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.0853762172029473,0,0.0,2
3,1.0206182270856443,0,0.0,3
4,0.9172655321982337,0,0.0,4
5,0.8194209042707881,0,0.0,5
6,0.7370562369661632,0,0.0,6
7,0.7938689823159821,0,0.0,7
8,0.7298432014689709,0,0.0,8
9,0.7261699985072457,0,0.0,9
10,0.6872092184445185,0,0.0,10
11,0.6549658889762067,0,0.0,11
12,0.6465134658118149,0,0.0,12
13,0.6530641440995552,0,0.0,13
14,0.5844785758720804,1,0.07142857142857142,13
15,0.6932699759753478,0,0.0,15
16,0.5586898052808882,2,0.125,14
17,0.6769999434790431,1,0.058823529411764705,16
18,0.6379159717116514,2,0.1111111111111111,16
19,0.5850879176248426,3,0.15789473684210525,16
20,0.6073655745345921,4,0.2,16
21,0.5917456056725754,3,0.14285714285714285,18
22,0.6482149506476497,2,0.09090909090909091,20
23,0.574239332837684,5,0.21739130434782608,18
24,0.6613560389637031,4,0.16666666666666666,20
25,0.6377908126574245,4,0.16,21
26,0.6373172290385452,4,0.15384615384615385,22
27,0.5550263507753352,6,0.2222222222222222,21
28,0.5813535295584026,6,0.21428571428571427,22
29,0.5325797374686191,8,0.27586206896551724,21
30,0.630692522873182,5,0.16666666666666666,25
31,0.6311565515181745,7,0.22580645161290322,24
32,0.5739407064652233,8,0.25,24
33,0.4979419028485288,11,0.3333333333333333,22
34,0.5184314387655629,11,0.3235294117647059,23
35,0.5065678263529398,12,0.34285714285714286,23
36,0.5122080193089456,11,0.3055555555555556,25
37,0.572345170158032,9,0.24324324324324326,28
38,0.5311214797814284,12,0.3157894736842105,26
39,0.5354087998264465,12,0.3076923076923077,27
40,0.537893782250567,12,0.3,28
41,0.5247563503125923,12,0.2926829268292683,29
42,0.47565934348429334,15,0.35714285714285715,27
43,0.5490762696116248,13,0.3023255813953488,30
44,0.5072093610023881,15,0.3409090909090909,29
45,0.47496604767036277,16,0.35555555555555557,29
46,0.4865542533961895,15,0.32608695652173914,31
47,0.4620607599537059,18,0.3829787234042553,29
48,0.5072043152396768,14,0.2916666666666667,34
49,0.49207337961693326,17,0.3469387755102041,32
50,0.4846760485311744,17,0.34,33
51,0.45858928250700515,19,0.37254901960784315,32
52,0.46381879808679677,19,0.36538461538461536,33
53,0.5128257971836065,17,0.32075471698113206,36
54,0.4853437868788592,19,0.35185185185185186,35
55,0.4363022010649159,23,0.41818181818181815,32
56,0.4178698600607691,24,0.42857142857142855,32
57,0.4766174470806282,20,0.3508771929824561,37
58,0.40651486945398757,26,0.4482758620689655,32
59,0.47224569457670873,20,0.3389830508474576,39
60,0.4456954239495152,24,0.4,36
61,0.45878432350956017,25,0.4098360655737705,36
62,0.43049167593960846,28,0.45161290322580644,34
63,0.4049551961316421,27,0.42857142857142855,36
64,0.4431372325637307,25,0.390625,39
65,0.37362332503440493,28,0.4307692307692308,37
66,0.4595815943752595,26,0.3939393939393939,40
67,0.4004530708841592,27,0.40298507462686567,40
68,0.42819224391730076,29,0.4264705882352941,39
69,0.4037766928965315,31,0.4492753623188406,38
70,0.4467594810743527,28,0.4,42
71,0.4287192625633313,28,0.39436619718309857,43
72,0.42641860939061127,31,0.4305555555555556,41
73,0.39550999196269065,32,0.4383561643835616,41
74,0.3872905525826511,35,0.47297297297297297,39
75,0.4001150058086013,33,0.44,42
76,0.39579023854279116,36,0.47368421052631576,40
77,0.40611274670657965,34,0.44155844155844154,43
78,0.42021732312764504,36,0.46153846153846156,42
79,0.35949854969939216,39,0.4936708860759494,40
80,0.41761044242161377,34,0.425,46
81,0.3884638417272776,37,0.4567901234567901,44
82,0.40923943676503605,36,0.43902439024390244,46
83,0.4719977754141028,35,0.42168674698795183,48
84,0.40203548578968784,40,0.47619047619047616,44
85,0.3660315142394034,39,0.4588235294117647,46
86,0.39485472775452146,40,0.46511627906976744,46
87,0.3633359287114807,41,0.47126436781609193,46
88,0.38685704152509565,38,0.4318181818181818,50
89,0.4002404947229403,41,0.4606741573033708,48
90,0.3491855175927847,46,0.5111111111111111,44
91,0.35907913473203157,48,0.5274725274725275,43
92,0.3572653477191372,44,0.4782608695652174,48
93,0.37686206769780045,45,0.4838709677419355,48
94,0.3559953932767558,48,0.5106382978723404,46
95,0.37260055031148853,47,0.49473684210526314,48
96,0.3847127313489098,49,0.5104166666666666,47
97,0.3637205642578525,46,0.4742268041237113,51
98,0.3647436356472644,51,0.5204081632653061,47
99,0.4042377615720474,48,0.48484848484848486,51
100,0.34562471537656814,53,0.53,47
101,0.3440804872736436,54,0.5346534653465347,47
102,0.36431666909481897,52,0.5098039215686274,50
103,0.39956090729024274,49,0.47572815533980584,54
104,0.3660513362883204,52,0.5,52
105,0.3959438257831747,53,0.5047619047619047,52
106,0.3355783832352923,57,0.5377358490566038,49
107,0.37373090204021375,52,0.48598130841121495,55
108,0.35041952163501383,56,0.5185185185185185,52
109,0.3616574579627371,56,0.5137614678899083,53
110,0.3013546975551208,62,0.5636363636363636,48
111,0.3410187221897338,59,0.5315315315315315,52
112,0.383353163894322,54,0.48214285714285715,58
113,0.3461966905985444,56,0.49557522123893805,57
114,0.3572078557418047,58,0.5087719298245614,56
115,0.3653897833942107,56,0.48695652173913045,59
116,0.3505495631309152,58,0.5,58
117,0.3559613654993061,57,0.48717948717948717,60
118,0.30930050223395417,61,0.5169491525423728,57
119,0.37343131170124216,59,0.4957983193277311,60
120,0.33162474231779954,64,0.5333333333333333,56
121,0.3926279050135689,59,0.48760330578512395,62
122,0.36117260080588587,63,0.5163934426229508,59
123,0.3399707327266957,66,0.5365853658536586,57
124,0.29600882347037516,66,0.532258064516129,58
125,0.3416242963618085,65,0.52,60
126,0.3327525817485836,68,0.5396825396825397,58
127,0.3373183283492159,67,0.5275590551181102,60
128,0.33973903046750986,68,0.53125,60
129,0.3290052379053233,66,0.5116279069767442,63
130,0.32447237121962347,71,0.5461538461538461,59
131,0.34219234672704035,69,0.5267175572519084,62
132,0.31186233297586624,73,0.553030303030303,59
133,0.32746838033126685,71,0.5338345864661654,62
134,0.31549989182619154,72,0.5373134328358209,62
135,0.3251596818903738,72,0.5333333333333333,63
136,0.3041571344860441,74,0.5441176470588235,62
137,0.36754313265062116,71,0.5182481751824818,66
138,0.30527631345248657,78,0.5652173913043478,60
139,0.31804670329093787,81,0.5827338129496403,58
140,0.3197673979255518,78,0.5571428571428572,62
141,0.3323749805639708,74,0.524822695035461,67
142,0.3182044895135888,82,0.5774647887323944,60
143,0.31640919309198584,77,0.5384615384615384,66
144,0.3160885237651616,81,0.5625,63
145,0.2969130363899227,82,0.5655172413793104,63
146,0.3011655992389108,78,0.5342465753424658,68
147,0.31523308496211944,81,0.5510204081632653,66
148,0.3225306777997178,82,0.5540540540540541,66
149,0.31140791795162276,84,0.5637583892617449,65
150,0.3030438753895879,79,0.5266666666666666,71
151,0.29746650899231397,82,0.543046357615894,69
152,0.27942484256326156,88,0.5789473684210527,64
153,0.2765823039774686,85,0.5555555555555556,68
154,0.29960222173627193,86,0.5584415584415584,68
155,0.27731338809480943,90,0.5806451612903226,65
156,0.2733925512787617,92,0.5897435897435898,64
157,0.2999774355071424,91,0.5796178343949044,66
158,0.2710722764055713,91,0.5759493670886076,67
159,0.2919229160564367,91,0.5723270440251572,68
160,0.2940605675306215,92,0.575,68
161,0.3164518068941909,90,0.5590062111801242,71
162,0.2790218385704548,93,0.5740740740740741,69
163,0.29077661094488155,96,0.588957055214724,67
164,0.27888483743407533,96,0.5853658536585366,68
165,0.2864537922031676,93,0.5636363636363636,72
166,0.31928536595791956,93,0.5602409638554217,73
167,0.2986655490741492,94,0.562874251497006,73
168,0.2847177979536577,98,0.5833333333333334,70
169,0.2984735488629747,98,0.5798816568047337,71
170,0.29068315253661625,97,0.5705882352941176,73
171,0.28138021828589915,98,0.5730994152046783,73
172,0.27627297530886236,96,0.5581395348837209,76
173,0.2771564381396897,100,0.5780346820809249,73
174,0.3140880649728147,95,0.5459770114942529,79
175,0.2816136910449381,104,0.5942857142857143,71
176,0.2923403954453131,100,0.5681818181818182,76
177,0.2572305239806517,102,0.576271186440678,75
178,0.30349502363059444,103,0.5786516853932584,75
179,0.2776147675538795,105,0.5865921787709497,74
180,0.29331852941732334,104,0.5777777777777777,76
181,0.2629471053360166,110,0.6077348066298343,71
182,0.28689371898586374,103,0.5659340659340659,79
183,0.25578619640085076,113,0.6174863387978142,70
184,0.2737082383365537,104,0.5652173913043478,80
185,0.3001511468918677,107,0.5783783783783784,78
186,0.25881747446063147,109,0.5860215053763441,77
187,0.2906111489629612,106,0.5668449197860963,81
188,0.2588642129281172,107,0.5691489361702128,81
189,0.2704831132286612,111,0.5873015873015873,78
190,0.24547557048914634,115,0.6052631578947368,75
191,0.2605172115847811,112,0.5863874345549738,79
192,0.2733889155001157,118,0.6145833333333334,74
193,0.28665403339580464,114,0.5906735751295337,79
194,0.25905191863761157,118,0.6082474226804123,76
195,0.25354033916734103,121,0.6205128205128205,74
196,0.23751696766446603,120,0.6122448979591837,76
197,0.2508771741833498,118,0.5989847715736041,79
198,0.2798094193043575,116,0.5858585858585859,82
199,0.25127345407487667,119,0.5979899497487438,80
200,0.2709444904041628,121,0.605,79
201,0.24134765517219686,121,0.6019900497512438,80
