NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.590221120550301,0,0.0,2
3,1.55628976834001,0,0.0,3
4,2.653110770552763,0,0.0,4
5,1.215581126929046,0,0.0,5
6,1.132418371931096,0,0.0,6
7,1.085049693923449,0,0.0,7
8,1.2086620661465275,0,0.0,8
9,1.099972690872149,0,0.0,9
10,1.2316802490628829,0,0.0,10
11,1.1577518148431076,0,0.0,11
12,1.1045398998503422,0,0.0,12
13,1.0096819594797812,0,0.0,13
14,0.9699915459545021,1,0.07142857142857142,13
15,0.941465142569327,0,0.0,15
16,0.8918426550177906,1,0.0625,15
17,0.8739280002708913,1,0.058823529411764705,16
18,0.8673188602612308,1,0.05555555555555555,17
19,0.8232144327945403,1,0.05263157894736842,18
20,0.7932130212856457,2,0.1,18
21,0.7700864290351436,2,0.09523809523809523,19
22,0.7368903066752537,3,0.13636363636363635,19
23,0.7686103154431194,2,0.08695652173913043,21
24,0.7001246561632859,4,0.16666666666666666,20
25,0.7789125560923353,3,0.12,22
26,0.6950258666406223,5,0.19230769230769232,21
27,0.7311957953194328,5,0.18518518518518517,22
28,0.7366234782229832,4,0.14285714285714285,24
29,0.6570038416049374,6,0.20689655172413793,23
30,0.6801946861033901,6,0.2,24
31,0.6916395423713583,6,0.1935483870967742,25
32,0.6321020041642395,7,0.21875,25
33,0.6227300984808055,7,0.21212121212121213,26
34,0.6300919349531938,8,0.23529411764705882,26
35,0.6321819072983375,9,0.2571428571428571,26
36,0.5220304452627337,11,0.3055555555555556,25
37,0.6327214917823437,8,0.21621621621621623,29
38,0.633394265057003,7,0.18421052631578946,31
39,0.5479013943298613,12,0.3076923076923077,27
40,0.6191342799883242,11,0.275,29
41,0.6038330307800943,10,0.24390243902439024,31
42,0.6013468784201823,12,0.2857142857142857,30
43,0.5793638312198095,12,0.27906976744186046,31
44,0.6248727020181524,11,0.25,33
45,0.5581989033455791,14,0.3111111111111111,31
46,0.5526008202504629,14,0.30434782608695654,32
47,0.5659853784103228,13,0.2765957446808511,34
48,0.5488730338310132,14,0.2916666666666667,34
49,0.530365532945923,16,0.32653061224489793,33
50,0.5933056181484428,15,0.3,35
51,0.499930036733243,18,0.35294117647058826,33
52,0.5205794410886957,17,0.3269230769230769,35
53,0.5563085516107669,18,0.33962264150943394,35
54,0.5843379233515683,16,0.2962962962962963,38
55,0.47053594675111776,23,0.41818181818181815,32
56,0.5023374996633749,20,0.35714285714285715,36
57,0.5241075143807952,20,0.3508771929824561,37
58,0.4874945576033295,23,0.39655172413793105,35
59,0.4928174371740648,22,0.3728813559322034,37
60,0.4885006525387021,23,0.38333333333333336,37
61,0.4748091646358671,23,0.3770491803278688,38
62,0.5087269209486149,22,0.3548387096774194,40
63,0.4785116165053769,26,0.4126984126984127,37
64,0.536270682331494,22,0.34375,42
65,0.46592365734147734,25,0.38461538461538464,40
66,0.4624885643457156,26,0.3939393939393939,40
67,0.5022417843978204,26,0.3880597014925373,41
68,0.5029294208115296,27,0.39705882352941174,41
69,0.44926476630058165,27,0.391304347826087,42
70,0.5018403482475057,25,0.35714285714285715,45
71,0.4386012117449207,30,0.4225352112676056,41
72,0.4170464731069748,33,0.4583333333333333,39
73,0.417982015987773,34,0.4657534246575342,39
74,0.4338924749283813,30,0.40540540540540543,44
75,0.4138092588799209,34,0.4533333333333333,41
76,0.4721139962292371,32,0.42105263157894735,44
77,0.4588409544352058,33,0.42857142857142855,44
78,0.4289563616538631,35,0.44871794871794873,43
79,0.3921662947613531,39,0.4936708860759494,40
80,0.40789861804732613,38,0.475,42
81,0.4300910478261248,35,0.43209876543209874,46
82,0.42853072500240996,39,0.47560975609756095,43
