NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.4610686329235525,0,0.0,2
3,2.0735357633240383,0,0.0,3
4,1.874043177354185,0,0.0,4
5,2.870807264786301,0,0.0,5
6,2.479646235463062,0,0.0,6
7,2.1694252287574276,0,0.0,7
8,2.1700749136672277,0,0.0,8
9,2.175904398871705,0,0.0,9
10,2.041432405162566,0,0.0,10
11,1.8168214403582397,0,0.0,11
12,1.7592931068720858,0,0.0,12
13,1.585752431638418,0,0.0,13
14,1.558328700268229,0,0.0,14
15,1.4959111272939358,0,0.0,15
16,1.4073423548353834,0,0.0,16
17,1.3220938832120372,0,0.0,17
18,1.3370091427368045,0,0.0,18
19,1.2041916688645329,0,0.0,19
20,1.0401048913600863,0,0.0,20
21,1.1035761099546249,0,0.0,21
22,0.9421909986310665,0,0.0,22
23,0.7576118980372415,0,0.0,23
24,0.8655266985546971,0,0.0,24
25,0.8371863553866905,0,0.0,25
26,0.749301147029988,0,0.0,26
27,0.7783011073973519,0,0.0,27
28,0.6874907796106025,0,0.0,28
29,0.678604846495155,0,0.0,29
30,0.6566627223451006,0,0.0,30
31,0.630857268156751,0,0.0,31
32,0.598660693386333,0,0.0,32
33,0.6094762444496673,0,0.0,33
34,0.5738006595499383,0,0.0,34
35,0.5557569805586898,0,0.0,35
36,0.615187592741154,0,0.0,36
37,0.559101007200141,0,0.0,37
38,0.5731554866032764,0,0.0,38
39,0.5800931586412065,0,0.0,39
40,0.5780397151620462,0,0.0,40
41,0.5622365101618149,0,0.0,41
42,0.5372439560698361,0,0.0,42
43,0.5411759303677347,0,0.0,43
44,0.614384856059745,0,0.0,44
45,0.5735183595250527,0,0.0,45
46,0.5280054293171003,0,0.0,46
47,0.5289302932395723,0,0.0,47
48,0.5710126100851695,0,0.0,48
49,0.5120269723181858,0,0.0,49
50,0.5472663116174198,0,0.0,50
51,0.560414071228298,0,0.0,51
52,0.4950492687602628,0,0.0,52
53,0.5036758270933632,0,0.0,53
54,0.5716329610896164,0,0.0,54
55,0.5422527671089579,0,0.0,55
56,0.5511054172416199,0,0.0,56
57,0.5311588160236129,0,0.0,57
58,0.4667786798899039,0,0.0,58
59,0.5445115851466195,0,0.0,59
60,0.558080573814798,0,0.0,60
61,0.5020631481779397,0,0.0,61
62,0.48532504000320353,0,0.0,62
63,0.519191559696069,0,0.0,63
64,0.4650325709630704,0,0.0,64
65,0.46230084347082084,0,0.0,65
