NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
25,2.0859693286261765,0,0.0,25
26,1.599782493927378,0,0.0,26
27,1.876985554296041,0,0.0,27
28,1.711800174649071,0,0.0,28
29,1.504632594203801,0,0.0,29
30,1.7799166108924267,0,0.0,30
31,1.7188383631184145,0,0.0,31
32,1.474358478669609,0,0.0,32
33,1.778434471553235,0,0.0,33
34,1.6131225606346569,0,0.0,34
35,2.140594048238742,0,0.0,35
36,1.6072883652715089,0,0.0,36
37,1.5622263514909742,0,0.0,37
38,1.4575633866736788,0,0.0,38
39,1.5089018801598908,0,0.0,39
40,1.5502543463133085,0,0.0,40
41,1.4387879654987763,0,0.0,41
42,1.9643444578657696,1,0.023809523809523808,41
43,1.4022577406914356,0,0.0,43
44,1.3674669855432333,0,0.0,44
45,1.841234308548524,0,0.0,45
46,1.6102998414227045,0,0.0,46
47,1.5753676287744807,0,0.0,47
48,1.3441359463968885,0,0.0,48
49,1.4288834338228023,0,0.0,49
50,1.572215420309464,0,0.0,50
51,1.300163697640024,0,0.0,51
52,1.468861009625911,0,0.0,52
53,1.259875238131324,0,0.0,53
54,1.473983352075074,0,0.0,54
55,1.500134684815859,0,0.0,55
56,1.7675650160987555,0,0.0,56
57,1.3051626510271346,0,0.0,57
58,1.3268584367123868,0,0.0,58
59,1.3157165102676056,0,0.0,59
60,1.5692491206021175,0,0.0,60
61,1.2954739375155724,0,0.0,61
62,1.25380083572381,1,0.016129032258064516,61
63,1.2218081266088057,0,0.0,63
64,1.2393496976939449,0,0.0,64
65,1.4019485959192073,0,0.0,65
66,1.3266132018499344,0,0.0,66
67,1.1412160713052635,0,0.0,67
68,1.717797779189439,0,0.0,68
69,1.2420729340860082,0,0.0,69
70,1.4147855705837873,0,0.0,70
71,1.6155846337082735,0,0.0,71
72,1.0887953273262463,0,0.0,72
73,1.1135326474742662,0,0.0,73
74,1.3701918446044437,0,0.0,74
75,1.3395839234139209,0,0.0,75
76,1.1480579157159319,0,0.0,76
77,1.3714128978627629,0,0.0,77
78,1.327207755074082,0,0.0,78
79,1.4033640533399296,0,0.0,79
80,1.243772450280707,0,0.0,80
81,1.1408128814700706,0,0.0,81
82,1.4275754296331258,0,0.0,82
83,1.3274718813059956,1,0.012048192771084338,82
84,1.2784178581971917,2,0.023809523809523808,82
85,1.2819105248898772,0,0.0,85
86,1.098678826549524,0,0.0,86
87,1.052533030951594,0,0.0,87
88,1.1853516426938449,0,0.0,88
89,1.2881020786137114,2,0.02247191011235955,87
90,1.1878213081157745,0,0.0,90
91,1.148264643731755,0,0.0,91
92,1.2746770660077344,2,0.021739130434782608,90
93,1.089416587668416,0,0.0,93
94,1.2607617942518599,0,0.0,94
95,1.276652289924097,2,0.021052631578947368,93
96,1.4208011776934866,0,0.0,96
97,1.0457655867469318,4,0.041237113402061855,93
98,1.131192040198092,1,0.01020408163265306,97
99,1.3247222536395569,0,0.0,99
