NumberOfGroups, ComputingTime
2 , 0
3 , 0
4 , 0
5 , 0
6 , 0
7 , 0
8 , 0
9 , 0
10 , 0
11 , 0
12 , 0
13 , 1
14 , 1
15 , 1
16 , 1
17 , 1
18 , 2
19 , 2
20 , 2
21 , 3
22 , 3
23 , 3
24 , 3
25 , 4
26 , 4
27 , 4
28 , 5
29 , 5
30 , 5
31 , 5
32 , 6
33 , 6
34 , 6
35 , 7
36 , 7
37 , 8
38 , 8
39 , 9
40 , 9
41 , 10
42 , 10
43 , 11
44 , 11
45 , 12
46 , 12
47 , 13
48 , 13
49 , 14
50 , 14
51 , 15
52 , 15
53 , 16
54 , 17
55 , 17
56 , 18
57 , 18
58 , 19
59 , 19
60 , 20
61 , 21
62 , 21
63 , 22
64 , 22
65 , 23
66 , 23
67 , 24
68 , 25
69 , 25
70 , 26
71 , 27
72 , 27
73 , 28
74 , 28
75 , 29
76 , 30
77 , 31
78 , 31
79 , 32
80 , 33
81 , 33
82 , 34
83 , 35
84 , 36
85 , 38
86 , 39
87 , 40
88 , 41
89 , 43
90 , 44
91 , 45
92 , 47
93 , 48
94 , 49
95 , 51
96 , 52
97 , 53
98 , 54
99 , 55
100 , 56
101 , 57
102 , 59
103 , 60
104 , 61
105 , 62
106 , 63
107 , 65
108 , 66
109 , 68
110 , 69
111 , 70
112 , 71
113 , 72
114 , 73
115 , 74
116 , 75
117 , 76
118 , 77
119 , 78
120 , 79
121 , 80
122 , 82
123 , 83
124 , 84
125 , 85
126 , 87
127 , 88
128 , 89
129 , 91
130 , 92
131 , 93
132 , 94
133 , 95
134 , 97
135 , 98
136 , 99
137 , 100
138 , 101
139 , 103
140 , 104
141 , 105
142 , 106
143 , 107
144 , 109
145 , 110
146 , 112
147 , 113
148 , 114
149 , 117
150 , 119
151 , 120
152 , 121
153 , 123
154 , 124
155 , 125
156 , 127
157 , 128
158 , 129
159 , 131
160 , 132
161 , 133
162 , 135
163 , 136
164 , 138
165 , 139
166 , 141
167 , 142
168 , 144
169 , 145
170 , 147
171 , 149
172 , 150
173 , 152
174 , 154
175 , 155
176 , 157
177 , 158
178 , 160
179 , 162
180 , 164
181 , 165
182 , 166
183 , 167
184 , 168
185 , 170
186 , 171
187 , 172
188 , 173
189 , 175
190 , 176
191 , 178
192 , 179
193 , 180
194 , 182
195 , 183
196 , 184
197 , 185
198 , 186
199 , 187
200 , 189
201 , 190
