NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8430882595953573,0,0.0,2
3,1.097234924064311,1,0.3333333333333333,2
4,1.0631171395240386,1,0.25,3
5,1.0475057923877569,1,0.2,4
6,0.9905500740810664,1,0.16666666666666666,5
7,0.9612586436071248,1,0.14285714285714285,6
8,0.9270747647135451,1,0.125,7
9,0.9364234474064538,1,0.1111111111111111,8
10,0.9187581374449636,1,0.1,9
11,0.919023747115157,1,0.09090909090909091,10
12,0.9031126360446186,1,0.08333333333333333,11
13,0.8779039472712338,1,0.07692307692307693,12
14,0.9045503137623762,2,0.14285714285714285,12
15,0.9321324463239028,2,0.13333333333333333,13
16,0.9064316604718875,2,0.125,14
17,0.9126012843755902,2,0.11764705882352941,15
18,0.8797245517567543,2,0.1111111111111111,16
19,0.875984005347371,2,0.10526315789473684,17
20,0.8515080317403066,2,0.1,18
21,0.8667364206604807,2,0.09523809523809523,19
22,0.8890258596655034,2,0.09090909090909091,20
23,0.8748040613784326,2,0.08695652173913043,21
24,0.8719131896650744,2,0.08333333333333333,22
25,0.8526758421782573,2,0.08,23
26,0.8313510046505775,2,0.07692307692307693,24
27,0.8121524199029956,2,0.07407407407407407,25
28,0.8120168563870729,2,0.07142857142857142,26
29,0.7927712561829761,2,0.06896551724137931,27
30,0.7950744497185274,2,0.06666666666666667,28
31,0.7804127749942766,2,0.06451612903225806,29
32,0.7817710057214777,2,0.0625,30
33,0.7708142223264505,2,0.06060606060606061,31
34,0.7843297388051993,2,0.058823529411764705,32
35,0.7859160444246944,2,0.05714285714285714,33
36,0.7830111804556746,2,0.05555555555555555,34
37,0.7864412399175921,2,0.05405405405405406,35
38,0.7766103562949676,2,0.05263157894736842,36
39,0.7641067060537726,2,0.05128205128205128,37
40,0.7551923083088717,2,0.05,38
41,0.7572870589949949,2,0.04878048780487805,39
42,0.7792548896778503,2,0.047619047619047616,40
43,0.7774689813104849,2,0.046511627906976744,41
44,0.7769144542461287,2,0.045454545454545456,42
45,0.7773658984116423,2,0.044444444444444446,43
46,0.7646369836664421,2,0.043478260869565216,44
47,0.7631729824238692,2,0.0425531914893617,45
48,0.7718865450893103,2,0.041666666666666664,46
49,0.7803218287374553,2,0.04081632653061224,47
