NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,2.0543032927544145,0,0.0,2,............ 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
3,1.9695763167056068,0,0.0,3,............ 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
4,2.1263546409690517,0,0.0,4,............ 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 3 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1
5,2.001608203943592,0,0.0,5,............ 0 1 0 0 1 1 2 1 4 1 1 1 1 0 1 0 1 1 0 4 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 4 1 1 4 0 0 1 3 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 0 0 1 1 3 0 1 1 1
6,1.8838894536435546,0,0.0,6,............ 4 1 0 4 1 1 3 1 2 0 0 1 1 4 1 0 1 1 0 4 0 1 1 1 1 0 1 1 4 0 0 1 0 4 1 0 1 0 1 4 0 1 2 1 0 2 0 0 1 5 1 1 0 1 1 0 4 1 1 4 1 0 1 1 0 0 1 1 1 1 1 4 1 1 1 1 1 1 0 1 1 0 0 1 4 0 0 0 1 1 1 4 0 0 1 5 4 1 1 1
7,1.7368863567561417,0,0.0,7,............ 4 1 4 4 1 1 6 1 3 0 0 1 1 4 1 4 1 1 4 2 0 1 1 1 1 0 1 1 4 0 4 1 0 4 1 0 1 4 1 2 0 1 2 1 0 3 4 4 1 5 1 1 0 1 1 0 4 1 1 4 1 4 1 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 4 1 1 0 4 1 4 0 0 4 1 1 1 4 4 0 1 5 4 1 1 1
8,1.847758966901564,0,0.0,8,............ 2 1 4 2 1 1 6 1 6 4 4 1 1 2 1 4 1 1 4 3 0 1 1 1 1 0 1 1 2 4 4 1 0 2 1 4 1 4 1 2 0 1 3 1 0 3 4 4 1 7 1 1 0 1 1 0 2 1 1 2 1 4 1 1 4 0 1 1 1 1 1 2 1 1 1 1 1 1 4 1 1 0 4 1 2 4 0 4 1 1 1 2 4 0 1 7 2 1 1 1
9,1.837806404796094,0,0.0,9,............ 2 1 4 2 1 1 8 1 6 4 4 1 1 2 1 4 1 1 4 3 0 1 1 1 1 0 1 1 2 4 4 1 0 2 1 4 1 2 1 3 0 1 3 1 0 6 2 4 1 7 1 1 0 1 1 0 2 1 1 2 1 2 1 1 4 0 1 1 1 1 1 3 1 1 1 1 1 1 2 1 1 0 4 1 2 4 0 2 1 1 1 2 4 0 1 7 2 1 1 1
10,1.7004416640960223,0,0.0,10,............ 2 9 4 2 1 1 8 1 6 4 4 1 1 2 1 4 1 1 4 3 0 9 1 9 9 0 1 1 2 4 4 1 0 2 9 4 1 2 9 3 0 1 3 1 0 6 2 4 9 7 9 1 0 9 1 0 2 1 1 2 1 2 1 9 4 0 9 1 9 1 1 3 1 9 1 1 9 1 2 1 9 0 4 9 2 4 0 2 1 1 1 2 4 0 9 7 2 9 9 1
11,1.6423136187889507,0,0.0,11,............ 3 9 2 3 1 1 10 1 8 4 4 1 1 3 1 2 1 1 2 6 0 9 1 9 9 0 1 1 3 4 2 1 0 3 9 4 1 2 9 6 0 1 6 1 0 8 2 2 9 7 9 1 0 9 1 0 3 1 1 3 1 2 1 9 4 0 9 1 9 1 1 3 1 9 1 1 9 1 2 1 9 0 2 9 3 4 0 2 1 1 1 3 2 0 9 7 3 9 9 1
