NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.638445808149598,0,0.0,2
3,0.6932645972280088,0,0.0,3
4,0.762270599107876,0,0.0,4
5,0.8826137876223834,0,0.0,5
6,0.7976795308992156,0,0.0,6
7,0.9846290989966529,0,0.0,7
8,0.9966787312942602,0,0.0,8
9,0.9617473852517422,0,0.0,9
10,0.9608894128317417,0,0.0,10
11,0.9208408658781359,0,0.0,11
12,0.9096273832388985,0,0.0,12
13,0.8879728140664862,0,0.0,13
14,0.9476956929083459,0,0.0,14
15,0.9271569538156825,0,0.0,15
16,0.8952315605402316,0,0.0,16
17,0.9198309964776499,0,0.0,17
18,0.9214517000979987,0,0.0,18
19,0.8841713294989743,0,0.0,19
20,0.8628542596137889,0,0.0,20
21,0.857066125995714,0,0.0,21
22,0.9514103626138489,0,0.0,22
23,0.9314781748229539,0,0.0,23
24,0.9334906859352784,0,0.0,24
25,0.9359760964328001,0,0.0,25
26,0.9495682560997477,0,0.0,26
27,0.9542486854293375,0,0.0,27
28,0.9434642306429807,0,0.0,28
29,0.9192299266545637,0,0.0,29
30,0.9216101094713943,0,0.0,30
31,0.9112258892960236,0,0.0,31
32,0.9121097947603114,0,0.0,32
33,1.1078042419942462,0,0.0,33
34,1.0888769561755605,0,0.0,34
35,1.0677100493356817,0,0.0,35
36,1.063373181228785,0,0.0,36
37,1.0705202154806177,0,0.0,37
38,1.0734181227054698,0,0.0,38
39,1.0753343941863782,0,0.0,39
40,1.0629779443956893,0,0.0,40
41,1.0620176762057199,0,0.0,41
42,1.0424653418853436,0,0.0,42
43,1.0455124031443241,0,0.0,43
44,1.1195632807245273,0,0.0,44
45,1.1326781449531436,0,0.0,45
46,1.1119223805880274,0,0.0,46
47,1.1214730955796783,0,0.0,47
48,1.1089045530648485,0,0.0,48
49,1.1105718230267025,0,0.0,49
50,1.0993923975523812,0,0.0,50
51,1.083645172778947,0,0.0,51
52,1.0822360091407837,0,0.0,52
53,1.0819655902672485,0,0.0,53
54,1.09691295153095,0,0.0,54
55,1.0966101546856397,0,0.0,55
56,1.0863214514815747,0,0.0,56
57,1.08755833615517,0,0.0,57
58,1.089939127291911,0,0.0,58
59,1.0900254213853904,0,0.0,59
60,1.079857320999111,0,0.0,60
61,1.0706237084066443,0,0.0,61
62,1.101916988035337,0,0.0,62
63,1.1062092464323983,0,0.0,63
64,1.1178151941286092,0,0.0,64
65,1.1205856804901053,0,0.0,65
66,1.1161770125860542,0,0.0,66
67,1.10777277490049,0,0.0,67
68,1.0974052014133915,0,0.0,68
69,1.1049380273829428,0,0.0,69
70,1.100283214081868,0,0.0,70
71,1.1098011392597618,0,0.0,71
72,1.095575541003057,0,0.0,72
73,1.1437705177924273,0,0.0,73
74,1.1459792962069033,0,0.0,74
75,1.1376629813973578,0,0.0,75
76,1.132800917701934,0,0.0,76
77,1.135471417376989,1,0.012987012987012988,76
78,1.1374008513562945,1,0.01282051282051282,77
79,1.1405479944916763,1,0.012658227848101266,78
80,1.1365998831127695,1,0.0125,79
81,1.1236687438743724,1,0.012345679012345678,80
82,1.1263312754978108,1,0.012195121951219513,81
83,1.1181827059134999,1,0.012048192771084338,82
84,1.1227367907219457,1,0.011904761904761904,83
85,1.1314692815045095,1,0.011764705882352941,84
86,1.1332618721721146,1,0.011627906976744186,85
87,1.124853129075353,1,0.011494252873563218,86
88,1.1300204657288007,1,0.011363636363636364,87
89,1.1328700928623952,1,0.011235955056179775,88
90,1.1258563811031548,1,0.011111111111111112,89
91,1.11621967478369,1,0.01098901098901099,90
92,1.1091767679060553,1,0.010869565217391304,91
93,1.1048761420061897,1,0.010752688172043012,92
94,1.1068322778758355,1,0.010638297872340425,93
95,1.1624286479875368,1,0.010526315789473684,94
96,1.19105063978079,1,0.010416666666666666,95
97,1.213824953805309,2,0.020618556701030927,95
98,1.211165436680364,2,0.02040816326530612,96
99,1.2075060776117632,2,0.020202020202020204,97
100,1.1990397610326253,2,0.02,98
101,1.2047498384061395,3,0.0297029702970297,98
102,1.200068554228225,3,0.029411764705882353,99
103,1.197571311580341,3,0.02912621359223301,100
104,1.1929151771741198,3,0.028846153846153848,101
105,1.2151612138557857,3,0.02857142857142857,102
106,1.2047137872170308,3,0.02830188679245283,103
107,1.1927513329701027,3,0.028037383177570093,104
108,1.1875514949904613,3,0.027777777777777776,105
109,1.1879786046278846,3,0.027522935779816515,106
110,1.187369996822465,3,0.02727272727272727,107
111,1.1837286926724704,3,0.02702702702702703,108
112,1.1806001626783706,3,0.026785714285714284,109
113,1.1882939665484735,3,0.02654867256637168,110
114,1.1814159741594765,3,0.02631578947368421,111
115,1.1804989980260974,3,0.02608695652173913,112
116,1.1777114450874488,3,0.02586206896551724,113
117,1.169005286660128,3,0.02564102564102564,114
118,1.1864075702263535,3,0.025423728813559324,115
119,1.3046654134100892,3,0.025210084033613446,116
120,1.3075092309727012,3,0.025,117
121,1.3029017166671417,3,0.024793388429752067,118
122,1.3324753771429174,4,0.03278688524590164,118
123,1.329841647723273,4,0.032520325203252036,119
124,1.3195203441126016,4,0.03225806451612903,120
125,1.3218841946797142,5,0.04,120
126,1.3153389268737468,5,0.03968253968253968,121
127,1.3240545433725537,5,0.03937007874015748,122
128,1.321059625512588,5,0.0390625,123
129,1.3237387498626194,6,0.046511627906976744,123
130,1.318436456090142,6,0.046153846153846156,124
131,1.3201253645346276,6,0.04580152671755725,125
132,1.3238870410659311,6,0.045454545454545456,126
133,1.3143507141072066,6,0.045112781954887216,127
134,1.312778326641114,6,0.04477611940298507,128
135,1.3125109789290308,6,0.044444444444444446,129
136,1.3221616334957291,7,0.051470588235294115,129
137,1.3362334463899208,7,0.051094890510948905,130
138,1.3337969721407186,8,0.057971014492753624,130
139,1.3587508137251805,9,0.06474820143884892,130
140,1.3495350405453046,9,0.06428571428571428,131
141,1.3512048934261818,10,0.07092198581560284,131
142,1.3976585142303568,11,0.07746478873239436,131
143,1.4023345143449157,11,0.07692307692307693,132
144,1.4003866062508004,11,0.0763888888888889,133
145,1.395613825058266,11,0.07586206896551724,134
146,1.403995808409808,12,0.0821917808219178,134
147,1.4105067968635585,12,0.08163265306122448,135
148,1.4011652441093945,12,0.08108108108108109,136
149,1.4028366722408208,13,0.087248322147651,136
150,1.404353956378744,13,0.08666666666666667,137
151,1.404973039434749,14,0.09271523178807947,137
152,1.4001163059379444,14,0.09210526315789473,138
153,1.397481123929841,14,0.0915032679738562,139
154,1.3998548150928263,14,0.09090909090909091,140
155,1.394694461447066,14,0.09032258064516129,141
156,1.392774869355983,14,0.08974358974358974,142
157,1.3904727950693156,14,0.08917197452229299,143
158,1.3857502594632578,14,0.08860759493670886,144
159,1.3978004565844422,15,0.09433962264150944,144
160,1.3906267037307896,15,0.09375,145
161,1.3850296240737041,15,0.09316770186335403,146
162,1.3835999276499082,15,0.09259259259259259,147
163,1.3846801890734213,15,0.09202453987730061,148
164,1.389854903367689,15,0.09146341463414634,149
165,1.3844859706990666,15,0.09090909090909091,150
166,1.4032254413288199,15,0.09036144578313253,151
167,1.4001803606603658,15,0.08982035928143713,152
168,1.391845953751673,15,0.08928571428571429,153
169,1.4841173639999725,15,0.08875739644970414,154
170,1.4806813795058549,15,0.08823529411764706,155
171,1.484418833989778,16,0.0935672514619883,155
172,1.4931511218394362,17,0.09883720930232558,155
173,1.4912639284569345,18,0.10404624277456648,155
174,1.486230250939389,18,0.10344827586206896,156
175,1.4795909209785012,18,0.10285714285714286,157
176,1.4761382841982948,18,0.10227272727272728,158
177,1.4792235041871307,19,0.10734463276836158,158
178,1.4687128852497497,19,0.10674157303370786,159
179,1.468204867889571,19,0.10614525139664804,160
180,1.4906037297346286,20,0.1111111111111111,160
181,1.5206740590362788,21,0.11602209944751381,160
182,1.5123476255135233,21,0.11538461538461539,161
183,1.5209614374706912,23,0.12568306010928962,160
184,1.5365393730675982,24,0.13043478260869565,160
185,1.5417472683483135,25,0.13513513513513514,160
186,1.5360148877417341,25,0.13440860215053763,161
187,1.5277160219470025,26,0.13903743315508021,161
188,1.5361235608373556,26,0.13829787234042554,162
189,1.572264000550738,27,0.14285714285714285,162
190,1.5808644490023087,28,0.14736842105263157,162
191,1.6045248445572704,29,0.1518324607329843,162
192,1.60615058321409,29,0.15104166666666666,163
193,1.6159632744927737,30,0.15544041450777202,163
194,1.6440842296316178,31,0.15979381443298968,163
195,1.6468064049920115,31,0.15897435897435896,164
196,1.653710453946134,32,0.16326530612244897,164
197,1.6550656159152088,32,0.16243654822335024,165
198,1.6601747121311254,33,0.16666666666666666,165
199,1.656491787584098,34,0.1708542713567839,165
200,1.6482093286461776,34,0.17,166
201,1.639014257359381,34,0.1691542288557214,167
