NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,1.7483768687128571,0,0.0,2,............ 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
3,2.3032763606015387,0,0.0,3,............ 2 2 0 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 0 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 0 2 2 2 0 2 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 1 0 2 2 2
4,1.965820914740638,0,0.0,4,............ 2 2 0 2 2 2 1 2 0 2 2 2 2 0 2 2 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 2 0 0 2 0 2 2 0 2 2 2 3 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 0 2 0 2 1 2 2 0 2 0 0 2 2 0 0 0 2 1 2 2 2 2 2 2 3 0 2 2 2
5,1.8256797147682522,0,0.0,5,............ 0 0 1 0 2 0 3 2 1 0 0 2 2 0 2 2 1 2 0 1 1 2 2 0 2 0 2 2 0 2 2 2 0 0 2 0 2 0 2 1 0 2 1 0 0 1 0 2 2 4 2 0 0 0 2 0 0 2 2 0 0 0 2 2 2 2 2 1 2 0 2 1 0 0 2 3 2 2 1 2 0 0 2 2 0 0 0 2 3 2 2 0 0 0 2 4 1 2 2 0
6,1.681177474168962,0,0.0,6,............ 0 0 3 0 2 0 5 2 3 1 1 2 0 1 0 0 1 0 0 1 1 2 0 1 2 0 2 0 0 0 0 0 1 1 0 1 0 1 2 1 1 0 1 0 1 3 0 0 0 4 2 0 0 1 0 1 1 0 2 1 1 0 2 2 0 0 2 1 2 1 2 1 0 1 0 5 0 0 1 0 1 1 0 2 1 1 1 0 3 0 0 0 1 0 0 4 1 2 0 0
7,1.5261983940277781,0,0.0,7,............ 1 1 6 1 2 1 5 2 6 1 1 2 0 3 0 0 3 0 1 3 3 2 0 1 2 1 2 0 1 0 0 1 3 1 0 3 0 1 2 3 3 0 3 1 1 6 1 1 0 4 2 1 1 3 1 3 1 0 2 1 1 1 2 2 0 0 2 3 2 3 2 3 1 3 0 5 1 0 3 1 3 3 1 2 3 3 3 1 6 0 0 1 1 1 0 4 3 2 1 1
8,1.4712877866949388,0,0.0,8,............ 1 3 5 3 2 3 4 2 5 3 3 2 1 6 1 1 6 0 1 6 6 2 1 3 2 1 2 1 3 0 1 1 3 3 0 3 0 3 2 6 3 0 6 1 3 5 1 1 1 7 2 1 1 6 1 6 3 1 2 3 3 1 2 2 0 0 2 6 2 3 2 6 1 6 1 5 1 1 6 1 6 3 1 2 6 6 3 1 5 0 1 1 3 1 0 7 6 2 1 3
9,1.364056223270432,0,0.0,9,............ 3 3 5 3 2 3 7 2 4 6 6 2 1 5 1 1 5 0 3 5 5 2 1 6 2 3 2 1 3 0 1 3 6 6 0 6 0 6 2 5 6 0 5 3 6 4 3 3 1 8 2 3 3 5 3 5 6 1 2 6 6 3 2 2 0 0 2 5 2 6 2 5 3 6 1 4 3 1 5 3 6 6 3 2 5 5 6 3 4 0 1 3 6 3 0 8 5 2 3 3
10,1.5024064352741944,0,0.0,10,............ 3 6 9 6 2 6 4 2 9 6 6 2 1 5 1 1 5 0 3 5 5 2 1 6 2 3 2 1 6 0 1 3 6 6 0 6 0 6 2 5 6 0 5 3 6 9 3 3 1 8 2 3 3 5 3 5 6 1 2 6 6 3 2 2 0 0 2 5 2 5 2 5 3 5 1 4 3 1 5 3 5 6 3 2 5 5 6 3 4 0 1 3 6 3 0 8 5 2 3 6
11,1.431042994297766,0,0.0,11,............ 6 6 9 6 2 6 4 2 9 5 5 2 1 10 1 1 10 0 6 10 10 2 1 5 2 6 2 1 6 0 1 3 5 5 0 5 0 5 2 10 5 0 10 6 5 9 6 3 1 8 2 6 6 10 3 10 5 1 2 5 5 6 2 2 0 0 2 10 2 5 2 10 6 10 1 4 3 1 10 3 10 5 3 2 10 10 5 3 4 0 1 6 5 6 0 8 10 2 3 6
