NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7679998616992223,0,0.0,2
3,0.8323353105940933,0,0.0,3
4,0.9721651638694141,0,0.0,4
5,1.0096292108003349,0,0.0,5
6,1.0697312583515795,0,0.0,6
7,1.0457306331255802,0,0.0,7
8,1.1905482314307527,0,0.0,8
9,1.2165464081782973,0,0.0,9
10,1.1546500019577508,0,0.0,10
11,1.3200048709298606,0,0.0,11
12,1.5081882013806716,0,0.0,12
13,1.440761851429875,0,0.0,13
14,1.4053584615543155,0,0.0,14
15,1.4733913778634329,0,0.0,15
16,1.5644591865860058,0,0.0,16
17,1.5708537482740252,0,0.0,17
18,1.5203984050991692,0,0.0,18
19,1.8129213291641577,0,0.0,19
20,2.0756755911035154,0,0.0,20
21,1.9983796058559573,0,0.0,21
22,1.9971207032908516,0,0.0,22
23,1.8170417553002398,1,0.043478260869565216,22
24,1.7948800057093373,1,0.041666666666666664,23
25,1.8049381889396106,2,0.08,23
26,1.9162849057093494,3,0.11538461538461539,23
27,1.888741725780079,2,0.07407407407407407,25
28,1.8641526168604121,2,0.07142857142857142,26
29,1.8386645955893635,3,0.10344827586206896,26
30,1.781372689316632,3,0.1,27
31,1.7952025655043102,3,0.0967741935483871,28
32,1.8730039209065303,3,0.09375,29
33,1.8313977414851204,3,0.09090909090909091,30
34,1.8265527098728127,4,0.11764705882352941,30
35,1.8450797753050179,5,0.14285714285714285,30
36,1.844753485250249,6,0.16666666666666666,30
37,1.9158062560310747,6,0.16216216216216217,31
38,1.8767934808053823,6,0.15789473684210525,32
39,1.8608439532145244,6,0.15384615384615385,33
40,1.8584895210508274,7,0.175,33
41,1.8381314723376252,7,0.17073170731707318,34
42,1.828002113774787,8,0.19047619047619047,34
43,1.857137523473623,8,0.18604651162790697,35
44,1.817770761576495,8,0.18181818181818182,36
45,1.7919928231584294,8,0.17777777777777778,37
46,1.7834712400462898,9,0.1956521739130435,37
47,1.781497920701507,9,0.19148936170212766,38
48,1.76522233311992,10,0.20833333333333334,38
49,1.7547075916276766,11,0.22448979591836735,38
50,1.748502328684012,12,0.24,38
51,1.751566241940441,12,0.23529411764705882,39
52,1.7380287958957985,13,0.25,39
53,1.7241037242751232,14,0.2641509433962264,39
54,2.1156803256048144,14,0.25925925925925924,40
55,2.1399406833210906,15,0.2727272727272727,40
56,2.2210141139147894,15,0.26785714285714285,41
57,2.215967082676518,16,0.2807017543859649,41
58,2.1691400640096816,17,0.29310344827586204,41
59,2.177007746540591,18,0.3050847457627119,41
60,2.146860407234371,18,0.3,42
61,2.144452859574791,19,0.3114754098360656,42
62,2.1321767381838,20,0.3225806451612903,42
63,2.1009781656200355,20,0.31746031746031744,43
64,2.1697128817822224,21,0.328125,43
65,2.164537811806086,22,0.3384615384615385,43
66,2.2365397641524587,23,0.3484848484848485,43
67,2.220571508966103,24,0.3582089552238806,43
68,2.1952689867754254,24,0.35294117647058826,44
69,2.181569436242448,25,0.36231884057971014,44
70,1.8932613014389845,26,0.37142857142857144,44
71,1.8933562126863228,27,0.38028169014084506,44
72,1.867059598621235,28,0.3888888888888889,44
73,1.8757300150784784,28,0.3835616438356164,45
74,1.856042367832068,28,0.3783783783783784,46
75,1.8512951362609738,29,0.38666666666666666,46
76,1.8400938844680663,30,0.39473684210526316,46
77,1.8962831413797365,31,0.4025974025974026,46
78,1.9830829301654664,32,0.41025641025641024,46
79,1.9769679563659035,33,0.4177215189873418,46
80,1.964414762140088,33,0.4125,47
81,1.940162728039593,34,0.41975308641975306,47
82,1.927071312656996,35,0.4268292682926829,47
83,1.9179098108980768,36,0.43373493975903615,47
84,2.0200775512445284,37,0.44047619047619047,47
85,2.0159197761318475,38,0.4470588235294118,47
86,2.038990476409384,39,0.45348837209302323,47
87,2.0366266012016134,40,0.45977011494252873,47
88,2.0305285716425043,41,0.4659090909090909,47
89,2.0189495989274198,42,0.47191011235955055,47
90,2.0076279367171153,43,0.4777777777777778,47
91,1.9196320253246195,44,0.4835164835164835,47
92,1.9108006213226434,45,0.4891304347826087,47
93,1.9115764699692233,46,0.4946236559139785,47
94,1.9071979968844444,46,0.48936170212765956,48
95,1.9717580605004401,46,0.4842105263157895,49
96,1.9616355807035604,47,0.4895833333333333,49
97,2.0548145953354826,48,0.4948453608247423,49
98,2.044051181097365,49,0.5,49
99,2.0385557146216344,50,0.5050505050505051,49
100,2.208170157475418,51,0.51,49
101,2.1961536756638345,52,0.5148514851485149,49
102,2.1836096853795484,52,0.5098039215686274,50
103,2.189917681961624,53,0.5145631067961165,50
104,2.1832838580966083,54,0.5192307692307693,50
105,2.1736017896067996,55,0.5238095238095238,50
106,2.153096112346358,55,0.5188679245283019,51
107,2.156338204754336,56,0.5233644859813084,51
108,2.127112851006611,56,0.5185185185185185,52
109,2.4603503477863664,57,0.5229357798165137,52
110,2.447074435533763,58,0.5272727272727272,52
111,2.4340377289073327,59,0.5315315315315315,52
112,2.5536742968039934,60,0.5357142857142857,52
113,2.539924966743781,61,0.5398230088495575,52
114,2.5264168530004145,62,0.543859649122807,52
115,2.5145929383366434,63,0.5478260869565217,52
116,2.484294723350983,64,0.5517241379310345,52
117,2.4929759650317433,65,0.5555555555555556,52
118,2.480323626345034,66,0.559322033898305,52
119,2.4762872933505378,67,0.5630252100840336,52
120,2.4723182325726167,67,0.5583333333333333,53
121,2.4932081645348263,68,0.5619834710743802,53
122,2.505558917284541,69,0.5655737704918032,53
123,2.505558917284541,69,0.5609756097560976,54
124,2.505558917284541,69,0.5564516129032258,55
125,2.505558917284541,69,0.552,56
126,2.505558917284541,69,0.5476190476190477,57
127,2.505558917284541,69,0.5433070866141733,58
128,2.505558917284541,69,0.5390625,59
129,2.505558917284541,69,0.5348837209302325,60
130,2.505558917284541,69,0.5307692307692308,61
131,2.505558917284541,69,0.5267175572519084,62
132,2.505558917284541,69,0.5227272727272727,63
133,2.505558917284541,69,0.518796992481203,64
134,2.505558917284541,69,0.5149253731343284,65
135,2.505558917284541,69,0.5111111111111111,66
136,2.505558917284541,69,0.5073529411764706,67
137,2.505558917284541,69,0.5036496350364964,68
138,2.505558917284541,69,0.5,69
139,2.505558917284541,69,0.49640287769784175,70
140,2.505558917284541,69,0.4928571428571429,71
141,2.505558917284541,69,0.48936170212765956,72
142,2.505558917284541,69,0.4859154929577465,73
143,2.505558917284541,69,0.4825174825174825,74
144,2.505558917284541,69,0.4791666666666667,75
145,2.505558917284541,69,0.47586206896551725,76
146,2.505558917284541,69,0.4726027397260274,77
147,2.505558917284541,69,0.46938775510204084,78
148,2.505558917284541,69,0.46621621621621623,79
149,2.505558917284541,69,0.46308724832214765,80
150,2.505558917284541,69,0.46,81
151,2.505558917284541,69,0.45695364238410596,82
152,2.505558917284541,69,0.45394736842105265,83
153,2.505558917284541,69,0.45098039215686275,84
154,2.505558917284541,69,0.44805194805194803,85
155,2.505558917284541,69,0.44516129032258067,86
156,2.505558917284541,69,0.4423076923076923,87
157,2.505558917284541,69,0.4394904458598726,88
158,2.505558917284541,69,0.43670886075949367,89
159,2.505558917284541,69,0.4339622641509434,90
160,2.505558917284541,69,0.43125,91
161,2.505558917284541,69,0.42857142857142855,92
162,2.505558917284541,69,0.42592592592592593,93
163,2.505558917284541,69,0.4233128834355828,94
164,2.505558917284541,69,0.42073170731707316,95
165,2.505558917284541,69,0.41818181818181815,96
166,2.505558917284541,69,0.41566265060240964,97
167,2.505558917284541,69,0.41317365269461076,98
168,2.505558917284541,69,0.4107142857142857,99
169,2.505558917284541,69,0.40828402366863903,100
170,2.505558917284541,69,0.40588235294117647,101
171,2.505558917284541,69,0.40350877192982454,102
172,2.505558917284541,69,0.4011627906976744,103
173,2.505558917284541,69,0.3988439306358382,104
174,2.505558917284541,69,0.39655172413793105,105
175,2.505558917284541,69,0.3942857142857143,106
176,2.505558917284541,69,0.39204545454545453,107
177,2.505558917284541,69,0.3898305084745763,108
178,2.505558917284541,69,0.38764044943820225,109
179,2.505558917284541,69,0.3854748603351955,110
180,2.505558917284541,69,0.38333333333333336,111
181,2.505558917284541,69,0.3812154696132597,112
182,2.505558917284541,69,0.3791208791208791,113
183,2.505558917284541,69,0.3770491803278688,114
184,2.505558917284541,69,0.375,115
185,2.505558917284541,69,0.372972972972973,116
186,2.505558917284541,69,0.3709677419354839,117
187,2.505558917284541,69,0.3689839572192513,118
188,2.505558917284541,69,0.3670212765957447,119
189,2.505558917284541,69,0.36507936507936506,120
190,2.505558917284541,69,0.3631578947368421,121
191,2.505558917284541,69,0.3612565445026178,122
192,2.505558917284541,69,0.359375,123
193,2.505558917284541,69,0.35751295336787564,124
194,2.505558917284541,69,0.3556701030927835,125
195,2.505558917284541,69,0.35384615384615387,126
196,2.505558917284541,69,0.3520408163265306,127
197,2.505558917284541,69,0.350253807106599,128
198,2.505558917284541,69,0.3484848484848485,129
199,2.505558917284541,69,0.34673366834170855,130
200,2.505558917284541,69,0.345,131
201,2.505558917284541,69,0.34328358208955223,132
