NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,4.933691692342656,0,0.0,2,............ 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3,5.602997249137154,0,0.0,3,............ 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4,5.796372287331399,0,0.0,4,............ 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2
5,5.002618655197911,0,0.0,5,............ 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 1 2 2 2 2 2 2 2 1 2 2 2
6,5.515675742612662,0,0.0,6,............ 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 2 2 1 2 2 2
7,4.890892406043605,0,0.0,7,............ 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 5 2 2 5 2 2 1 2 1 1 2 3 2 2 2
8,2.8095308552881537,0,0.0,8,............ 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 5 2 2 5 2 2 1 2 1 1 2 3 2 2 2
9,2.8411529563105105,0,0.0,9,............ 2 2 2 2 2 2 8 2 2 2 2 2 2 2 2 2 3 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 0 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 6 2 2 5 2 2 1 2 1 1 2 3 2 2 2
10,3.4000701670073328,0,0.0,10,............ 2 2 2 2 2 2 9 2 2 2 2 2 2 2 2 2 3 2 2 2 1 2 2 2 3 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 2 2 0 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 6 2 2 6 2 2 1 2 1 1 2 5 2 2 2
11,3.2327252499736585,0,0.0,11,............ 2 2 2 2 2 2 9 2 2 2 2 2 1 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 2 2 10 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 10 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 0 2 2 6 2 2 1 2 1 3 2 5 2 2 2
