NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.6681584622783583,0,0.0,2
3,0.6506358605697674,0,0.0,3
4,0.6961111238702404,0,0.0,4
5,0.7351281431186694,0,0.0,5
6,0.7004657083090319,0,0.0,6
7,0.6946379939326731,0,0.0,7
8,0.7354965520255491,0,0.0,8
9,0.736298641625738,0,0.0,9
10,0.7468521222177146,0,0.0,10
11,0.7323107866782403,0,0.0,11
12,0.7779703939944028,0,0.0,12
13,0.7462122437963019,0,0.0,13
14,0.7569521555906082,0,0.0,14
15,0.8181174671443423,0,0.0,15
16,0.8848047660970422,0,0.0,16
17,0.8904491581636785,0,0.0,17
18,0.926949352938035,0,0.0,18
19,0.913697528218274,0,0.0,19
20,0.9072921500110741,0,0.0,20
21,0.9089867843902081,0,0.0,21
22,0.892540105469937,0,0.0,22
23,0.8920717536176967,0,0.0,23
24,0.8786916105689139,0,0.0,24
25,0.8401195277655765,0,0.0,25
26,0.8622446174661865,0,0.0,26
27,0.9144351626471514,0,0.0,27
28,0.9195208949222897,0,0.0,28
29,0.9371237162890352,0,0.0,29
30,0.9676013287042091,0,0.0,30
31,0.9577964965483085,0,0.0,31
32,1.0174314854122717,0,0.0,32
33,1.0211937522523689,0,0.0,33
34,1.033362047719978,0,0.0,34
35,1.0276831184022934,0,0.0,35
36,1.0267446072710371,0,0.0,36
37,1.0235941010408693,0,0.0,37
38,1.0212832217835068,0,0.0,38
39,1.0133705064558192,0,0.0,39
40,1.0132038847869702,0,0.0,40
41,1.034458117694777,0,0.0,41
42,1.0234475758043966,0,0.0,42
43,1.0159926349628856,0,0.0,43
44,1.0416975558089083,0,0.0,44
45,1.038034680206266,0,0.0,45
46,1.134429991173934,0,0.0,46
47,1.1318239292360106,0,0.0,47
48,1.143110470840436,0,0.0,48
49,1.1399881399543392,0,0.0,49
50,1.1241793282093613,0,0.0,50
51,1.1161713292590252,0,0.0,51
52,1.1190394044438665,0,0.0,52
53,1.129273752557913,0,0.0,53
54,1.1554465881127112,0,0.0,54
55,1.1918889629723597,0,0.0,55
56,1.2067162744655924,0,0.0,56
57,1.1874563059970094,0,0.0,57
58,1.1726518700247823,0,0.0,58
59,1.2121441456900417,0,0.0,59
60,1.2054188898969158,0,0.0,60
61,1.2109311485324856,1,0.01639344262295082,60
62,1.2460773211714467,1,0.016129032258064516,61
63,1.3126550810016804,2,0.031746031746031744,61
64,1.3132656516380854,2,0.03125,62
65,1.3533106240837902,3,0.046153846153846156,62
66,1.370539585947932,3,0.045454545454545456,63
67,1.3630721334699951,3,0.04477611940298507,64
68,1.3586839571705969,3,0.04411764705882353,65
69,1.3537164668989523,3,0.043478260869565216,66
70,1.3599610675049212,3,0.04285714285714286,67
71,1.351582619932683,3,0.04225352112676056,68
72,1.3717034432367137,3,0.041666666666666664,69
73,1.3724517159200664,4,0.0547945205479452,69
74,1.387013179218444,4,0.05405405405405406,70
75,1.3890921762389001,4,0.05333333333333334,71
76,1.3901494554171712,4,0.05263157894736842,72
77,1.3812523971621669,4,0.05194805194805195,73
78,1.3766774274793796,4,0.05128205128205128,74
79,1.3777154489429018,4,0.05063291139240506,75
80,1.3709504566300583,4,0.05,76
81,1.3681678767512115,4,0.04938271604938271,77
82,1.3703818944855546,5,0.06097560975609756,77
83,1.3640835469329462,5,0.060240963855421686,78
84,1.3564183674218706,5,0.05952380952380952,79
85,1.3408806723429576,5,0.058823529411764705,80
86,1.3381408556452328,5,0.05813953488372093,81
87,1.3380855967680845,5,0.05747126436781609,82
88,1.3283380676037089,5,0.056818181818181816,83
89,1.3180898807411692,5,0.056179775280898875,84
90,1.3200208387354047,5,0.05555555555555555,85
91,1.3098850584763875,5,0.054945054945054944,86
92,1.3041561872099598,5,0.05434782608695652,87
93,1.30231298191994,5,0.053763440860215055,88
94,1.298462893369232,5,0.05319148936170213,89
95,1.2950031450559802,5,0.05263157894736842,90
96,1.2945095607076789,5,0.052083333333333336,91
97,1.3351650831549733,5,0.05154639175257732,92
98,1.333105575503732,5,0.05102040816326531,93
99,1.3418801735031758,5,0.050505050505050504,94
100,1.3477683331890762,5,0.05,95
101,1.3421456977602948,5,0.04950495049504951,96
102,1.3307963574601984,5,0.049019607843137254,97
103,1.3464989109379921,6,0.05825242718446602,97
104,1.3335518060251272,6,0.057692307692307696,98
105,1.3885126195814332,6,0.05714285714285714,99
106,1.3809819006255364,6,0.05660377358490566,100
107,1.378811687062483,6,0.056074766355140186,101
108,1.3483296541892391,6,0.05555555555555555,102
109,1.3819076695942312,6,0.05504587155963303,103
110,1.369997830750878,6,0.05454545454545454,104
111,1.3779325111230607,6,0.05405405405405406,105
112,1.3769390660832712,7,0.0625,105
113,1.4920515736831526,7,0.061946902654867256,106
114,1.5297257244570257,7,0.06140350877192982,107
115,1.5269310080124718,7,0.06086956521739131,108
116,1.5296052078451985,8,0.06896551724137931,108
117,1.5260083404704177,8,0.06837606837606838,109
118,1.522391891816155,9,0.07627118644067797,109
119,1.5184688973937965,9,0.07563025210084033,110
120,1.5185260465603951,9,0.075,111
121,1.5100336709827298,9,0.0743801652892562,112
122,1.5058656731529407,10,0.08196721311475409,112
123,1.5014819413928897,11,0.08943089430894309,112
124,1.5041581622956355,12,0.0967741935483871,112
125,1.5162582303306038,12,0.096,113
126,1.520517371779647,12,0.09523809523809523,114
127,1.5171669730962871,12,0.09448818897637795,115
128,1.5151086119147117,12,0.09375,116
129,1.5128873934391827,13,0.10077519379844961,116
130,1.5172868054733117,14,0.1076923076923077,116
131,1.5243123186958745,14,0.10687022900763359,117
132,1.5179006205585248,14,0.10606060606060606,118
133,1.5168446082264468,14,0.10526315789473684,119
134,1.5509228822944086,15,0.11194029850746269,119
135,1.5588814675391305,15,0.1111111111111111,120
136,1.5548762116503623,16,0.11764705882352941,120
137,1.5480550011300704,16,0.11678832116788321,121
138,1.6078919616693859,16,0.11594202898550725,122
139,1.6786984943192464,17,0.1223021582733813,122
140,1.6738506479312518,18,0.12857142857142856,122
141,1.6824230697023523,18,0.1276595744680851,123
142,1.686963202293956,18,0.1267605633802817,124
143,1.6796353228668115,18,0.1258741258741259,125
144,1.6721654126661272,18,0.125,126
145,1.6701570469301703,18,0.12413793103448276,127
146,1.6688448166674392,18,0.1232876712328767,128
147,1.6629990955304075,18,0.12244897959183673,129
148,1.6581439965365836,19,0.12837837837837837,129
149,1.654845490966987,20,0.1342281879194631,129
150,1.649146521027207,21,0.14,129
151,1.646503166583318,22,0.1456953642384106,129
152,1.6455393299610594,23,0.1513157894736842,129
153,1.641138201805541,23,0.1503267973856209,130
154,1.6349549215843138,23,0.14935064935064934,131
155,1.614613048369376,23,0.14838709677419354,132
156,1.6232800587430765,24,0.15384615384615385,132
157,1.6126434553965177,24,0.15286624203821655,133
158,1.611235560605599,25,0.15822784810126583,133
159,1.6063430937674086,25,0.15723270440251572,134
160,1.6029704976609107,25,0.15625,135
161,1.6054365194145697,26,0.16149068322981366,135
162,1.603643300559758,27,0.16666666666666666,135
163,1.6021894561800454,27,0.1656441717791411,136
164,1.5976605231816579,27,0.16463414634146342,137
165,1.5978119139164002,27,0.16363636363636364,138
166,1.6078590036857525,28,0.1686746987951807,138
167,1.6078903583828152,29,0.17365269461077845,138
168,1.6111172014876793,30,0.17857142857142858,138
169,1.6237240030567854,30,0.17751479289940827,139
170,1.612912181190065,30,0.17647058823529413,140
171,1.6034799462123455,30,0.17543859649122806,141
172,1.5919950699697911,31,0.18023255813953487,141
173,1.5933900888331642,32,0.18497109826589594,141
174,1.6075991388442654,33,0.1896551724137931,141
175,1.604480885261754,33,0.18857142857142858,142
176,1.595838001443979,33,0.1875,143
177,1.6127165061439188,34,0.192090395480226,143
178,1.6186375744614625,34,0.19101123595505617,144
179,1.6259556406855402,35,0.19553072625698323,144
180,1.6289837315402946,36,0.2,144
181,1.6300184614283033,36,0.19889502762430938,145
182,1.6311355761091,36,0.1978021978021978,146
183,1.6278081807326692,36,0.19672131147540983,147
184,1.7288087056303438,36,0.1956521739130435,148
185,1.732977307221531,37,0.2,148
186,1.7443670028366862,37,0.1989247311827957,149
187,1.7396734181512852,38,0.20320855614973263,149
188,1.7383678721463889,39,0.2074468085106383,149
189,1.7320606151313092,39,0.20634920634920634,150
190,1.8875643896715533,39,0.20526315789473684,151
191,1.882132115380079,39,0.20418848167539266,152
192,1.8775376772791412,40,0.20833333333333334,152
193,1.8795292165777195,40,0.20725388601036268,153
194,1.8749955608221642,41,0.211340206185567,153
195,1.8734143870059825,41,0.21025641025641026,154
196,1.8691282591811218,40,0.20408163265306123,156
197,1.8664568321947055,41,0.20812182741116753,156
198,1.8620807875876615,42,0.21212121212121213,156
199,1.8568414089789014,42,0.21105527638190955,157
200,1.852008342309841,42,0.21,158
201,1.8492620321490956,43,0.21393034825870647,158
