NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,5.6847965720592795,0,0.0,2
3,4.708912628035941,0,0.0,3
4,3.02422808231303,0,0.0,4
5,3.2504093627430164,0,0.0,5
6,3.6066553128735186,0,0.0,6
7,3.3099189354655287,0,0.0,7
8,3.036307065860032,0,0.0,8
9,3.9234122234085373,0,0.0,9
10,3.7187711897907683,0,0.0,10
11,3.4306910223714215,1,0.09090909090909091,10
12,3.251575018514462,1,0.08333333333333333,11
13,3.0522129230052144,1,0.07692307692307693,12
14,2.8807330205603385,1,0.07142857142857142,13
15,2.7366909526189933,1,0.06666666666666667,14
16,2.595288733537244,1,0.0625,15
17,2.4994059226277257,1,0.058823529411764705,16
18,2.3846617768204603,1,0.05555555555555555,17
19,2.284113687190543,1,0.05263157894736842,18
20,2.352993043508828,1,0.05,19
21,2.2926068287348227,1,0.047619047619047616,20
22,2.21661544976815,1,0.045454545454545456,21
23,2.135426110370541,1,0.043478260869565216,22
24,2.0601333262519677,1,0.041666666666666664,23
25,1.9932196525811443,1,0.04,24
26,1.9265867581167635,1,0.038461538461538464,25
27,1.8677020646241291,1,0.037037037037037035,26
28,1.8338490323863994,1,0.03571428571428571,27
29,1.7870313780027824,1,0.034482758620689655,28
30,1.7342040294490306,1,0.03333333333333333,29
31,1.6920538459229275,1,0.03225806451612903,30
32,1.6468942039558874,1,0.03125,31
33,1.6218650450388765,1,0.030303030303030304,32
34,1.582876675949672,1,0.029411764705882353,33
35,1.544760308551874,1,0.02857142857142857,34
36,1.509475576143933,1,0.027777777777777776,35
37,1.4749017135442748,1,0.02702702702702703,36
38,1.447778425753572,1,0.02631578947368421,37
39,1.4257507107511296,1,0.02564102564102564,38
40,1.3973438964147822,1,0.025,39
41,1.3673781585168938,1,0.024390243902439025,40
42,1.3426590117578538,1,0.023809523809523808,41
43,1.3254289386926243,1,0.023255813953488372,42
44,1.304231577823526,1,0.022727272727272728,43
45,1.2892036093139772,1,0.022222222222222223,44
46,1.2858704257991382,1,0.021739130434782608,45
47,1.2730950420313143,1,0.02127659574468085,46
48,1.2549853007479246,1,0.020833333333333332,47
49,1.2362067266271566,1,0.02040816326530612,48
50,1.2140411756299414,1,0.02,49
51,1.1958737352052815,1,0.0196078431372549,50
52,1.1938708479820659,1,0.019230769230769232,51
53,1.1846873508331142,1,0.018867924528301886,52
54,1.1672127970180723,1,0.018518518518518517,53
55,1.147637359353929,1,0.01818181818181818,54
56,1.1274143978503146,1,0.017857142857142856,55
57,1.1143741232760869,1,0.017543859649122806,56
58,1.1129648656843825,1,0.017241379310344827,57
59,1.112956236915309,1,0.01694915254237288,58
60,1.1026250722806727,1,0.016666666666666666,59
61,1.0898869866998724,1,0.01639344262295082,60
62,1.085502413484463,1,0.016129032258064516,61
63,1.0894381383506242,1,0.015873015873015872,62
64,1.0759355916315974,1,0.015625,63
65,1.0736414437758834,1,0.015384615384615385,64
66,1.064825208897954,1,0.015151515151515152,65
67,1.0554538858811633,1,0.014925373134328358,66
68,1.0519228126930713,1,0.014705882352941176,67
69,1.0559376943062253,1,0.014492753623188406,68
70,1.0471146184002433,1,0.014285714285714285,69
71,1.050357721807094,1,0.014084507042253521,70
72,1.0605789132455166,1,0.013888888888888888,71
73,1.058308178116284,1,0.0136986301369863,72
74,1.0503531617433532,1,0.013513513513513514,73
75,1.042368653448506,1,0.013333333333333334,74
76,1.0449148794902243,1,0.013157894736842105,75
77,1.0537883794256901,1,0.012987012987012988,76
78,1.0436800785239622,1,0.01282051282051282,77
