NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.0599639097867632,0,0.0,2
3,2.0283854617764674,0,0.0,3
4,1.6643123751901636,0,0.0,4
5,1.3540327166456243,0,0.0,5
6,1.6334236240029283,0,0.0,6
7,1.894300672614586,1,0.14285714285714285,6
8,1.8457606207980892,1,0.125,7
9,2.1331069290023033,1,0.1111111111111111,8
10,2.096588506633474,1,0.1,9
11,2.356767100681498,1,0.09090909090909091,10
12,3.04516328958482,1,0.08333333333333333,11
13,3.1241678228646204,2,0.15384615384615385,11
14,4.318870121231433,3,0.21428571428571427,11
15,4.330945446482671,3,0.2,12
16,4.27380302274417,4,0.25,12
17,4.066520491994513,4,0.23529411764705882,13
18,3.8961582424392622,5,0.2777777777777778,13
19,3.927939387574038,6,0.3157894736842105,13
20,3.8565424181953363,7,0.35,13
21,3.8565424181953363,7,0.3333333333333333,14
22,3.8565424181953363,7,0.3181818181818182,15
23,3.8565424181953363,7,0.30434782608695654,16
24,3.8565424181953363,7,0.2916666666666667,17
25,3.8565424181953363,7,0.28,18
26,3.8565424181953363,7,0.2692307692307692,19
27,3.8565424181953363,7,0.25925925925925924,20
28,3.8565424181953363,7,0.25,21
29,3.8565424181953363,7,0.2413793103448276,22
30,3.8565424181953363,7,0.23333333333333334,23
31,3.8565424181953363,7,0.22580645161290322,24
32,3.8565424181953363,7,0.21875,25
33,3.8565424181953363,7,0.21212121212121213,26
34,3.8565424181953363,7,0.20588235294117646,27
35,3.8565424181953363,7,0.2,28
36,3.8565424181953363,7,0.19444444444444445,29
37,3.8565424181953363,7,0.1891891891891892,30
38,3.8565424181953363,7,0.18421052631578946,31
39,3.8565424181953363,7,0.1794871794871795,32
40,3.8565424181953363,7,0.175,33
41,3.8565424181953363,7,0.17073170731707318,34
42,3.8565424181953363,7,0.16666666666666666,35
43,3.8565424181953363,7,0.16279069767441862,36
44,3.8565424181953363,7,0.1590909090909091,37
45,3.8565424181953363,7,0.15555555555555556,38
46,3.8565424181953363,7,0.15217391304347827,39
47,3.8565424181953363,7,0.14893617021276595,40
48,3.8565424181953363,7,0.14583333333333334,41
49,3.8565424181953363,7,0.14285714285714285,42
50,3.8565424181953363,7,0.14,43
51,3.8565424181953363,7,0.13725490196078433,44
52,3.8565424181953363,7,0.1346153846153846,45
53,3.8565424181953363,7,0.1320754716981132,46
54,3.8565424181953363,7,0.12962962962962962,47
55,3.8565424181953363,7,0.12727272727272726,48
56,3.8565424181953363,7,0.125,49
57,3.8565424181953363,7,0.12280701754385964,50
58,3.8565424181953363,7,0.1206896551724138,51
59,3.8565424181953363,7,0.11864406779661017,52
60,3.8565424181953363,7,0.11666666666666667,53
61,3.8565424181953363,7,0.11475409836065574,54
62,3.8565424181953363,7,0.11290322580645161,55
63,3.8565424181953363,7,0.1111111111111111,56
64,3.8565424181953363,7,0.109375,57
65,3.8565424181953363,7,0.1076923076923077,58
66,3.8565424181953363,7,0.10606060606060606,59
67,3.8565424181953363,7,0.1044776119402985,60
68,3.8565424181953363,7,0.10294117647058823,61
69,3.8565424181953363,7,0.10144927536231885,62
70,3.8565424181953363,7,0.1,63
71,3.8565424181953363,7,0.09859154929577464,64
72,3.8565424181953363,7,0.09722222222222222,65
73,3.8565424181953363,7,0.0958904109589041,66
74,3.8565424181953363,7,0.0945945945945946,67
75,3.8565424181953363,7,0.09333333333333334,68
76,3.8565424181953363,7,0.09210526315789473,69
77,3.8565424181953363,7,0.09090909090909091,70
78,3.8565424181953363,7,0.08974358974358974,71
79,3.8565424181953363,7,0.08860759493670886,72
80,3.8565424181953363,7,0.0875,73
81,3.8565424181953363,7,0.08641975308641975,74
82,3.8565424181953363,7,0.08536585365853659,75
83,3.8565424181953363,7,0.08433734939759036,76
84,3.8565424181953363,7,0.08333333333333333,77
85,3.8565424181953363,7,0.08235294117647059,78
86,3.8565424181953363,7,0.08139534883720931,79
87,3.8565424181953363,7,0.08045977011494253,80
88,3.8565424181953363,7,0.07954545454545454,81
89,3.8565424181953363,7,0.07865168539325842,82
90,3.8565424181953363,7,0.07777777777777778,83
91,3.8565424181953363,7,0.07692307692307693,84
92,3.8565424181953363,7,0.07608695652173914,85
93,3.8565424181953363,7,0.07526881720430108,86
94,3.8565424181953363,7,0.07446808510638298,87
95,3.8565424181953363,7,0.07368421052631578,88
96,3.8565424181953363,7,0.07291666666666667,89
97,3.8565424181953363,7,0.07216494845360824,90
98,3.8565424181953363,7,0.07142857142857142,91
99,3.8565424181953363,7,0.0707070707070707,92
100,3.8565424181953363,7,0.07,93
101,3.8565424181953363,7,0.06930693069306931,94
102,3.8565424181953363,7,0.06862745098039216,95
103,3.8565424181953363,7,0.06796116504854369,96
104,3.8565424181953363,7,0.0673076923076923,97
105,3.8565424181953363,7,0.06666666666666667,98
106,3.8565424181953363,7,0.0660377358490566,99
107,3.8565424181953363,7,0.06542056074766354,100
108,3.8565424181953363,7,0.06481481481481481,101
109,3.8565424181953363,7,0.06422018348623854,102
110,3.8565424181953363,7,0.06363636363636363,103
111,3.8565424181953363,7,0.06306306306306306,104
112,3.8565424181953363,7,0.0625,105
113,3.8565424181953363,7,0.061946902654867256,106
114,3.8565424181953363,7,0.06140350877192982,107
115,3.8565424181953363,7,0.06086956521739131,108
116,3.8565424181953363,7,0.0603448275862069,109
117,3.8565424181953363,7,0.05982905982905983,110
118,3.8565424181953363,7,0.059322033898305086,111
119,3.8565424181953363,7,0.058823529411764705,112
120,3.8565424181953363,7,0.058333333333333334,113
121,3.8565424181953363,7,0.05785123966942149,114
122,3.8565424181953363,7,0.05737704918032787,115
123,3.8565424181953363,7,0.056910569105691054,116
124,3.8565424181953363,7,0.056451612903225805,117
125,3.8565424181953363,7,0.056,118
126,3.8565424181953363,7,0.05555555555555555,119
127,3.8565424181953363,7,0.05511811023622047,120
128,3.8565424181953363,7,0.0546875,121
129,3.8565424181953363,7,0.05426356589147287,122
130,3.8565424181953363,7,0.05384615384615385,123
131,3.8565424181953363,7,0.05343511450381679,124
132,3.8565424181953363,7,0.05303030303030303,125
133,3.8565424181953363,7,0.05263157894736842,126
134,3.8565424181953363,7,0.05223880597014925,127
135,3.8565424181953363,7,0.05185185185185185,128
136,3.8565424181953363,7,0.051470588235294115,129
137,3.8565424181953363,7,0.051094890510948905,130
138,3.8565424181953363,7,0.050724637681159424,131
139,3.8565424181953363,7,0.050359712230215826,132
140,3.8565424181953363,7,0.05,133
141,3.8565424181953363,7,0.04964539007092199,134
142,3.8565424181953363,7,0.04929577464788732,135
143,3.8565424181953363,7,0.04895104895104895,136
144,3.8565424181953363,7,0.04861111111111111,137
145,3.8565424181953363,7,0.04827586206896552,138
146,3.8565424181953363,7,0.04794520547945205,139
147,3.8565424181953363,7,0.047619047619047616,140
148,3.8565424181953363,7,0.0472972972972973,141
149,3.8565424181953363,7,0.04697986577181208,142
150,3.8565424181953363,7,0.04666666666666667,143
151,3.8565424181953363,7,0.046357615894039736,144
152,3.8565424181953363,7,0.046052631578947366,145
153,3.8565424181953363,7,0.0457516339869281,146
154,3.8565424181953363,7,0.045454545454545456,147
155,3.8565424181953363,7,0.04516129032258064,148
156,3.8565424181953363,7,0.04487179487179487,149
157,3.8565424181953363,7,0.044585987261146494,150
158,3.8565424181953363,7,0.04430379746835443,151
159,3.8565424181953363,7,0.0440251572327044,152
160,3.8565424181953363,7,0.04375,153
161,3.8565424181953363,7,0.043478260869565216,154
162,3.8565424181953363,7,0.043209876543209874,155
163,3.8565424181953363,7,0.04294478527607362,156
164,3.8565424181953363,7,0.042682926829268296,157
165,3.8565424181953363,7,0.04242424242424243,158
166,3.8565424181953363,7,0.04216867469879518,159
167,3.8565424181953363,7,0.041916167664670656,160
168,3.8565424181953363,7,0.041666666666666664,161
169,3.8565424181953363,7,0.04142011834319527,162
170,3.8565424181953363,7,0.041176470588235294,163
171,3.8565424181953363,7,0.04093567251461988,164
172,3.8565424181953363,7,0.040697674418604654,165
173,3.8565424181953363,7,0.04046242774566474,166
174,3.8565424181953363,7,0.040229885057471264,167
175,3.8565424181953363,7,0.04,168
176,3.8565424181953363,7,0.03977272727272727,169
177,3.8565424181953363,7,0.03954802259887006,170
178,3.8565424181953363,7,0.03932584269662921,171
179,3.8565424181953363,7,0.03910614525139665,172
180,3.8565424181953363,7,0.03888888888888889,173
181,3.8565424181953363,7,0.03867403314917127,174
182,3.8565424181953363,7,0.038461538461538464,175
183,3.8565424181953363,7,0.03825136612021858,176
184,3.8565424181953363,7,0.03804347826086957,177
185,3.8565424181953363,7,0.03783783783783784,178
186,3.8565424181953363,7,0.03763440860215054,179
187,3.8565424181953363,7,0.0374331550802139,180
188,3.8565424181953363,7,0.03723404255319149,181
189,3.8565424181953363,7,0.037037037037037035,182
190,3.8565424181953363,7,0.03684210526315789,183
191,3.8565424181953363,7,0.03664921465968586,184
192,3.8565424181953363,7,0.036458333333333336,185
193,3.8565424181953363,7,0.03626943005181347,186
194,3.8565424181953363,7,0.03608247422680412,187
195,3.8565424181953363,7,0.035897435897435895,188
196,3.8565424181953363,7,0.03571428571428571,189
197,3.8565424181953363,7,0.03553299492385787,190
198,3.8565424181953363,7,0.03535353535353535,191
199,3.8565424181953363,7,0.035175879396984924,192
200,3.8565424181953363,7,0.035,193
201,3.8565424181953363,7,0.03482587064676617,194
