NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.9489669296756513,0,0.0,2
3,0.6511544011544035,0,0.0,3
4,0.8230642181727701,0,0.0,4
5,0.8873198927627687,0,0.0,5
6,0.8285288445797055,0,0.0,6
7,0.9851043653754149,1,0.14285714285714285,6
8,0.9672840554139821,1,0.125,7
9,0.9774186033250495,1,0.1111111111111111,8
10,0.9522750792967634,1,0.1,9
11,0.8830741167301931,1,0.09090909090909091,10
12,0.8723504448685149,1,0.08333333333333333,11
13,0.8723576756051249,1,0.07692307692307693,12
14,0.8357266851707452,1,0.07142857142857142,13
15,0.8853025781170342,2,0.13333333333333333,13
16,0.8924711669847195,3,0.1875,13
17,0.8929140395150301,3,0.17647058823529413,14
18,0.8655299262086396,3,0.16666666666666666,15
19,0.9041862458818691,3,0.15789473684210525,16
20,0.967310266921109,4,0.2,16
21,0.921247873258199,4,0.19047619047619047,17
22,0.8952820608373717,4,0.18181818181818182,18
23,0.8660185895932347,4,0.17391304347826086,19
24,0.9479900372490722,6,0.25,18
25,0.9479900372490722,6,0.24,19
26,0.9327600343837589,7,0.2692307692307692,19
27,0.9908059590362123,8,0.2962962962962963,19
28,0.9554200319277761,9,0.32142857142857145,19
29,0.9224745135854391,9,0.3103448275862069,20
30,0.9224745135854391,9,0.3,21
31,0.9224745135854391,9,0.2903225806451613,22
32,0.9224745135854391,9,0.28125,23
33,0.9224745135854391,9,0.2727272727272727,24
34,0.9224745135854391,9,0.2647058823529412,25
35,0.9224745135854391,9,0.2571428571428571,26
36,0.9224745135854391,9,0.25,27
37,0.9224745135854391,9,0.24324324324324326,28
38,0.9224745135854391,9,0.23684210526315788,29
39,0.9224745135854391,9,0.23076923076923078,30
40,0.9224745135854391,9,0.225,31
41,0.9224745135854391,9,0.21951219512195122,32
42,0.9224745135854391,9,0.21428571428571427,33
43,0.9224745135854391,9,0.20930232558139536,34
44,0.9224745135854391,9,0.20454545454545456,35
45,0.9224745135854391,9,0.2,36
46,0.9224745135854391,9,0.1956521739130435,37
47,0.9224745135854391,9,0.19148936170212766,38
48,0.9224745135854391,9,0.1875,39
49,0.9224745135854391,9,0.1836734693877551,40
50,0.9224745135854391,9,0.18,41
51,0.9224745135854391,9,0.17647058823529413,42
52,0.9224745135854391,9,0.17307692307692307,43
53,0.9224745135854391,9,0.16981132075471697,44
54,0.9224745135854391,9,0.16666666666666666,45
55,0.9224745135854391,9,0.16363636363636364,46
56,0.9224745135854391,9,0.16071428571428573,47
57,0.9224745135854391,9,0.15789473684210525,48
58,0.9224745135854391,9,0.15517241379310345,49
59,0.9224745135854391,9,0.15254237288135594,50
60,0.9224745135854391,9,0.15,51
61,0.9224745135854391,9,0.14754098360655737,52
62,0.9224745135854391,9,0.14516129032258066,53
63,0.9224745135854391,9,0.14285714285714285,54
64,0.9224745135854391,9,0.140625,55
65,0.9224745135854391,9,0.13846153846153847,56
66,0.9224745135854391,9,0.13636363636363635,57
67,0.9224745135854391,9,0.13432835820895522,58
68,0.9224745135854391,9,0.1323529411764706,59
69,0.9224745135854391,9,0.13043478260869565,60
70,0.9224745135854391,9,0.12857142857142856,61
71,0.9224745135854391,9,0.1267605633802817,62
72,0.9224745135854391,9,0.125,63
73,0.9224745135854391,9,0.1232876712328767,64
74,0.9224745135854391,9,0.12162162162162163,65
75,0.9224745135854391,9,0.12,66
76,0.9224745135854391,9,0.11842105263157894,67
77,0.9224745135854391,9,0.11688311688311688,68
78,0.9224745135854391,9,0.11538461538461539,69
79,0.9224745135854391,9,0.11392405063291139,70
80,0.9224745135854391,9,0.1125,71
81,0.9224745135854391,9,0.1111111111111111,72
82,0.9224745135854391,9,0.10975609756097561,73
83,0.9224745135854391,9,0.10843373493975904,74
84,0.9224745135854391,9,0.10714285714285714,75
85,0.9224745135854391,9,0.10588235294117647,76
86,0.9224745135854391,9,0.10465116279069768,77
87,0.9224745135854391,9,0.10344827586206896,78
88,0.9224745135854391,9,0.10227272727272728,79
89,0.9224745135854391,9,0.10112359550561797,80
90,0.9224745135854391,9,0.1,81
91,0.9224745135854391,9,0.0989010989010989,82
92,0.9224745135854391,9,0.09782608695652174,83
93,0.9224745135854391,9,0.0967741935483871,84
94,0.9224745135854391,9,0.09574468085106383,85
95,0.9224745135854391,9,0.09473684210526316,86
96,0.9224745135854391,9,0.09375,87
97,0.9224745135854391,9,0.09278350515463918,88
98,0.9224745135854391,9,0.09183673469387756,89
99,0.9224745135854391,9,0.09090909090909091,90
100,0.9224745135854391,9,0.09,91
101,0.9224745135854391,9,0.0891089108910891,92
102,0.9224745135854391,9,0.08823529411764706,93
103,0.9224745135854391,9,0.08737864077669903,94
104,0.9224745135854391,9,0.08653846153846154,95
105,0.9224745135854391,9,0.08571428571428572,96
106,0.9224745135854391,9,0.08490566037735849,97
107,0.9224745135854391,9,0.08411214953271028,98
108,0.9224745135854391,9,0.08333333333333333,99
109,0.9224745135854391,9,0.08256880733944955,100
110,0.9224745135854391,9,0.08181818181818182,101
111,0.9224745135854391,9,0.08108108108108109,102
112,0.9224745135854391,9,0.08035714285714286,103
113,0.9224745135854391,9,0.07964601769911504,104
114,0.9224745135854391,9,0.07894736842105263,105
115,0.9224745135854391,9,0.0782608695652174,106
116,0.9224745135854391,9,0.07758620689655173,107
117,0.9224745135854391,9,0.07692307692307693,108
118,0.9224745135854391,9,0.07627118644067797,109
119,0.9224745135854391,9,0.07563025210084033,110
120,0.9224745135854391,9,0.075,111
121,0.9224745135854391,9,0.0743801652892562,112
122,0.9224745135854391,9,0.07377049180327869,113
123,0.9224745135854391,9,0.07317073170731707,114
124,0.9224745135854391,9,0.07258064516129033,115
125,0.9224745135854391,9,0.072,116
126,0.9224745135854391,9,0.07142857142857142,117
127,0.9224745135854391,9,0.07086614173228346,118
128,0.9224745135854391,9,0.0703125,119
129,0.9224745135854391,9,0.06976744186046512,120
130,0.9224745135854391,9,0.06923076923076923,121
131,0.9224745135854391,9,0.06870229007633588,122
132,0.9224745135854391,9,0.06818181818181818,123
133,0.9224745135854391,9,0.06766917293233082,124
134,0.9224745135854391,9,0.06716417910447761,125
135,0.9224745135854391,9,0.06666666666666667,126
136,0.9224745135854391,9,0.0661764705882353,127
137,0.9224745135854391,9,0.06569343065693431,128
138,0.9224745135854391,9,0.06521739130434782,129
139,0.9224745135854391,9,0.06474820143884892,130
140,0.9224745135854391,9,0.06428571428571428,131
141,0.9224745135854391,9,0.06382978723404255,132
142,0.9224745135854391,9,0.06338028169014084,133
143,0.9224745135854391,9,0.06293706293706294,134
144,0.9224745135854391,9,0.0625,135
145,0.9224745135854391,9,0.06206896551724138,136
146,0.9224745135854391,9,0.06164383561643835,137
147,0.9224745135854391,9,0.061224489795918366,138
148,0.9224745135854391,9,0.060810810810810814,139
149,0.9224745135854391,9,0.06040268456375839,140
150,0.9224745135854391,9,0.06,141
