NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.7314532360818813,0,0.0,2
3,2.11503893473579,0,0.0,3
4,3.3786233820692217,0,0.0,4
5,3.953271810803668,0,0.0,5
6,3.5649619989291477,0,0.0,6
7,3.276619863768043,0,0.0,7
8,3.003504411422904,0,0.0,8
9,2.7201573523716123,0,0.0,9
10,3.200534701899907,0,0.0,10
11,2.941104951534481,0,0.0,11
12,2.7197799630804553,0,0.0,12
13,2.5428594642790276,0,0.0,13
14,2.3933821221508853,0,0.0,14
15,2.2612474601958388,0,0.0,15
16,2.152421068247284,0,0.0,16
17,2.044332314250781,0,0.0,17
18,2.0316266233519444,0,0.0,18
19,1.9589456497591677,0,0.0,19
20,1.891066005194719,0,0.0,20
21,1.8338859550721203,0,0.0,21
22,1.7915993658139746,0,0.0,22
23,1.7868282987013644,0,0.0,23
24,1.7386075747286103,0,0.0,24
25,1.706965006052102,0,0.0,25
26,1.64743711178843,0,0.0,26
27,1.620281547396972,0,0.0,27
28,1.5907849676599715,0,0.0,28
29,1.5519041018964204,0,0.0,29
30,1.5421306398806593,0,0.0,30
31,1.5033183383532769,0,0.0,31
32,1.4751216295205525,0,0.0,32
33,1.4781850305407633,0,0.0,33
34,1.4412009680922373,0,0.0,34
35,1.4246956940994673,0,0.0,35
36,1.4000382039024908,0,0.0,36
37,1.396441473033953,0,0.0,37
38,1.375517929042186,0,0.0,38
39,1.3503484308187512,0,0.0,39
40,1.3305329355399234,0,0.0,40
41,1.326026232658329,0,0.0,41
42,1.2981062491564361,0,0.0,42
43,1.2962523737499843,0,0.0,43
44,1.2920867927873543,0,0.0,44
45,1.278936204898976,0,0.0,45
46,1.283455787176416,0,0.0,46
47,1.2655543378050342,0,0.0,47
48,1.2542534031238766,0,0.0,48
49,1.2448581418678364,0,0.0,49
50,1.2283368606937395,0,0.0,50
51,1.2183450222665277,0,0.0,51
52,1.2392015566324306,0,0.0,52
53,1.2624115784620034,0,0.0,53
54,1.2439490118851406,0,0.0,54
55,1.2438303590543365,0,0.0,55
56,1.2627283823145343,0,0.0,56
57,1.2803016422932907,0,0.0,57
58,1.2782963252386426,0,0.0,58
59,1.2716978664276515,0,0.0,59
60,1.271486447762403,0,0.0,60
61,1.2782228983666086,0,0.0,61
62,1.3039361687422069,0,0.0,62
63,1.3764878874472013,1,0.015873015873015872,62
64,1.3818031808725055,1,0.015625,63
65,1.4235463264067483,2,0.03076923076923077,63
66,1.4403568242345128,2,0.030303030303030304,64
67,1.4360601747005073,2,0.029850746268656716,65
68,1.429772814564364,2,0.029411764705882353,66
69,1.4455939929247947,2,0.028985507246376812,67
70,1.4898560700821466,3,0.04285714285714286,67
71,1.5175064113912755,3,0.04225352112676056,68
72,1.526923860824213,3,0.041666666666666664,69
73,1.572080668357784,3,0.0410958904109589,70
74,1.5990988832641462,3,0.04054054054054054,71
75,1.6074177764608357,3,0.04,72
76,1.6236721335830469,4,0.05263157894736842,72
77,1.6158417175616067,5,0.06493506493506493,72
78,1.6073201798897405,5,0.0641025641025641,73
79,1.5926253494028901,5,0.06329113924050633,74
80,1.5926198109634477,5,0.0625,75
81,1.5851955028578342,5,0.06172839506172839,76
82,1.6032500378664227,5,0.06097560975609756,77
83,1.5923263168870823,5,0.060240963855421686,78
84,1.599636113190203,6,0.07142857142857142,78
85,1.6642749753166648,6,0.07058823529411765,79
86,1.6758637046224192,7,0.08139534883720931,79
87,1.717444976332901,7,0.08045977011494253,80
88,1.73614488527272,8,0.09090909090909091,80
89,1.7615814595954984,9,0.10112359550561797,80
90,1.7950947520197458,9,0.1,81
91,1.8329182936133426,10,0.10989010989010989,81
92,1.8319911278960135,10,0.10869565217391304,82
93,1.824194814710797,10,0.10752688172043011,83
94,1.823618274128767,10,0.10638297872340426,84
95,1.8139359803621522,10,0.10526315789473684,85
96,1.8337643588735915,11,0.11458333333333333,85
97,1.8419582461900639,12,0.12371134020618557,85
98,2.204115134834383,12,0.12244897959183673,86
99,2.2240350877773736,12,0.12121212121212122,87
100,2.2122763386312014,12,0.12,88
101,2.2267155325124266,12,0.1188118811881188,89
102,2.269881356993968,12,0.11764705882352941,90
103,2.2831187548225054,13,0.1262135922330097,90
104,2.267614102570702,13,0.125,91
105,2.2903034920700285,14,0.13333333333333333,91
106,2.284117401787084,14,0.1320754716981132,92
107,2.3027497417496137,15,0.14018691588785046,92
108,2.294288067186088,15,0.1388888888888889,93
109,2.2828288931315193,16,0.14678899082568808,93
110,2.2899979811160383,17,0.15454545454545454,93
111,2.3309289302351126,18,0.16216216216216217,93
112,2.3264861124056324,19,0.16964285714285715,93
113,2.423154376897618,20,0.17699115044247787,93
114,2.4333313852874046,20,0.17543859649122806,94
115,2.4223169094733112,21,0.1826086956521739,94
116,2.4252854418629095,22,0.1896551724137931,94
117,2.414171891077756,22,0.18803418803418803,95
118,2.395596046426438,23,0.19491525423728814,95
119,2.476305323347225,24,0.20168067226890757,95
120,2.4994194456526646,25,0.20833333333333334,95
121,2.5614077146968577,26,0.21487603305785125,95
122,2.54724317058732,26,0.21311475409836064,96
123,2.538728998468724,27,0.21951219512195122,96
124,2.5380134420294604,28,0.22580645161290322,96
125,2.5297093344932247,29,0.232,96
126,2.5221984138490985,30,0.23809523809523808,96
127,2.5180866153148536,30,0.23622047244094488,97
128,2.5338307302993726,31,0.2421875,97
129,2.5472635670153982,32,0.24806201550387597,97
130,2.562284616499895,33,0.25384615384615383,97
131,2.5885267186640184,34,0.2595419847328244,97
132,2.6005725119208924,34,0.25757575757575757,98
133,2.5885381321320136,35,0.2631578947368421,98
134,2.58787739980267,36,0.26865671641791045,98
135,2.578584480791786,37,0.2740740740740741,98
136,2.6098693988251798,38,0.27941176470588236,98
137,2.57622071708193,39,0.2846715328467153,98
138,2.56842201623351,40,0.2898550724637681,98
139,2.5763230568841085,41,0.2949640287769784,98
140,2.4936350350492225,42,0.3,98
141,2.4972262759353985,43,0.3049645390070922,98
142,2.5007669359640223,44,0.30985915492957744,98
143,2.4943513163652065,45,0.3146853146853147,98
144,2.4839738766682258,46,0.3194444444444444,98
145,2.494429229242928,47,0.32413793103448274,98
146,2.524147750503821,48,0.3287671232876712,98
147,2.5273848406364476,49,0.3333333333333333,98
148,2.5418394475690844,50,0.33783783783783783,98
149,2.716055290202849,51,0.3422818791946309,98
150,2.6712815882681635,52,0.3466666666666667,98
151,2.660213498279633,53,0.3509933774834437,98
152,2.6565278831593715,54,0.35526315789473684,98
153,2.71759632836748,55,0.35947712418300654,98
154,2.6999495989624966,55,0.35714285714285715,99
155,2.7341434725175775,56,0.36129032258064514,99
156,2.7871297323091313,57,0.36538461538461536,99
157,2.7757467403835956,58,0.36942675159235666,99
158,2.8214698622799017,59,0.37341772151898733,99
159,2.832026655598896,60,0.37735849056603776,99
160,2.826826489001403,61,0.38125,99
161,2.9707592437281023,62,0.38509316770186336,99
162,2.9585940632112617,63,0.3888888888888889,99
163,2.9373756947253034,63,0.38650306748466257,100
164,2.9286112087818568,64,0.3902439024390244,100
165,2.9229832620619667,65,0.3939393939393939,100
166,3.040917097832678,66,0.39759036144578314,100
167,3.046660109222901,67,0.40119760479041916,100
168,3.046660109222901,67,0.39880952380952384,101
169,3.046660109222901,67,0.39644970414201186,102
170,3.046660109222901,67,0.3941176470588235,103
171,3.046660109222901,67,0.391812865497076,104
172,3.046660109222901,67,0.38953488372093026,105
173,3.046660109222901,67,0.3872832369942196,106
174,3.046660109222901,67,0.3850574712643678,107
175,3.046660109222901,67,0.38285714285714284,108
176,3.046660109222901,67,0.3806818181818182,109
177,3.046660109222901,67,0.3785310734463277,110
178,3.046660109222901,67,0.37640449438202245,111
179,3.046660109222901,67,0.3743016759776536,112
180,3.046660109222901,67,0.37222222222222223,113
181,3.046660109222901,67,0.3701657458563536,114
182,3.046660109222901,67,0.36813186813186816,115
183,3.046660109222901,67,0.366120218579235,116
184,3.046660109222901,67,0.3641304347826087,117
185,3.046660109222901,67,0.3621621621621622,118
186,3.046660109222901,67,0.3602150537634409,119
187,3.046660109222901,67,0.3582887700534759,120
188,3.046660109222901,67,0.35638297872340424,121
189,3.046660109222901,67,0.3544973544973545,122
190,3.046660109222901,67,0.3526315789473684,123
191,3.046660109222901,67,0.3507853403141361,124
192,3.046660109222901,67,0.3489583333333333,125
193,3.046660109222901,67,0.3471502590673575,126
194,3.046660109222901,67,0.34536082474226804,127
195,3.046660109222901,67,0.3435897435897436,128
196,3.046660109222901,67,0.34183673469387754,129
197,3.046660109222901,67,0.3401015228426396,130
198,3.046660109222901,67,0.3383838383838384,131
199,3.046660109222901,67,0.33668341708542715,132
200,3.046660109222901,67,0.335,133
201,3.046660109222901,67,0.3333333333333333,134
