NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,2.1926445110378308,0,0.0,2,............ 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1
3,3.192812946883505,0,0.0,3,............ 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1
4,4.359133740514301,0,0.0,4,............ 1 1 0 0 1 1 3 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 3 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 3 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 3 1 1 3 1 1 0 1 0 0 1 3 1 0 1
5,9.269178374844996,0,0.0,5,............ 1 1 0 0 1 1 4 1 1 1 1 1 0 0 1 1 3 1 1 1 3 1 1 0 3 0 1 1 1 1 3 0 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0 1 1 4 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 4 1 1 0 1 0 1 0 0 1 1 0 1 3 1 1 0 1 1 0 4 0 1 3 1 1 0 0 0 0 1 3 1 0 0
6,9.180136480322242,0,0.0,6,............ 1 5 5 5 1 5 4 1 5 5 5 1 5 5 1 1 0 1 1 1 0 1 5 5 0 5 1 5 1 1 0 5 5 5 5 5 1 5 1 0 1 5 5 5 5 1 5 1 1 3 5 5 5 1 5 1 5 1 1 0 1 1 5 1 1 3 1 5 5 5 5 5 5 5 1 1 5 1 0 1 1 0 1 1 0 3 5 1 3 1 1 0 5 0 0 1 3 5 5 5
7,8.05020985315798,0,0.0,7,............ 1 5 0 0 1 5 4 1 5 5 5 5 0 0 1 1 3 1 5 1 3 1 5 0 3 5 1 5 1 1 3 5 5 5 0 5 1 0 5 0 5 5 5 5 5 1 0 1 5 6 5 0 5 5 5 1 5 1 1 0 1 1 5 1 1 6 5 5 0 5 5 5 5 0 1 5 0 1 3 1 1 0 5 1 0 6 0 1 6 1 1 0 5 0 0 1 3 5 0 5
8,7.085885638275793,0,0.0,8,............ 1 0 3 3 1 0 2 1 0 0 0 5 3 3 1 1 6 1 5 1 6 5 0 3 6 0 1 0 5 1 6 0 0 0 3 0 5 3 5 3 5 0 0 0 0 1 3 1 5 4 0 3 0 5 0 5 0 1 1 3 5 1 0 1 1 4 5 0 3 0 0 0 0 3 5 5 3 1 6 1 1 3 5 1 3 4 3 1 4 5 5 3 0 3 3 5 6 0 3 0
9,6.551948007055713,0,0.0,9,............ 1 0 3 3 1 0 4 1 0 0 0 0 3 3 1 1 6 1 0 1 6 5 0 3 6 3 1 0 5 1 6 3 0 0 3 0 5 3 0 6 0 3 3 0 0 1 3 1 0 4 3 3 0 0 0 5 0 1 1 6 5 1 3 1 1 4 0 0 3 0 3 0 3 3 5 0 3 1 6 1 1 6 0 1 6 4 3 1 8 5 5 6 3 6 6 5 8 0 3 3
10,5.958813121463948,0,0.0,10,............ 1 3 6 6 1 3 4 1 3 3 3 0 6 6 1 1 9 1 0 1 9 5 3 6 9 6 1 3 5 1 9 6 3 3 6 3 5 6 0 9 0 6 6 3 3 1 6 1 0 4 3 6 3 0 3 5 3 1 1 9 5 1 6 1 1 4 0 3 6 3 3 3 3 6 5 0 6 1 9 1 1 9 0 1 9 4 6 1 8 5 5 6 3 9 9 5 8 3 6 6
11,5.598665219292759,0,0.0,11,............ 1 3 6 6 1 3 4 1 3 3 3 0 6 6 1 1 9 1 0 1 9 5 3 6 9 6 1 3 5 1 9 6 3 3 10 3 5 6 0 10 0 6 6 3 3 1 6 1 0 4 6 6 3 0 3 5 3 1 1 10 5 1 6 1 1 8 0 3 6 3 6 3 6 6 5 0 10 1 9 1 1 10 0 1 10 8 6 1 8 5 5 10 6 10 10 5 8 3 6 6
12,5.189546641364515,0,0.0,12,............ 1 3 6 6 1 3 4 1 11 11 11 0 6 6 1 1 9 1 0 1 10 5 11 6 10 6 1 3 5 1 10 6 3 11 6 11 5 6 0 10 0 6 6 3 11 1 6 1 0 4 11 6 11 0 3 5 3 1 1 10 5 1 6 1 1 8 0 11 6 3 11 3 11 6 5 0 6 1 9 1 1 10 0 1 10 8 6 1 8 5 5 10 11 10 10 5 8 3 6 6
13,4.845795007076427,0,0.0,13,............ 1 3 10 10 1 3 4 1 11 11 11 0 10 10 1 1 9 1 0 1 12 5 11 10 12 6 1 3 5 1 12 6 3 11 10 11 5 10 0 12 0 6 6 3 11 1 10 1 0 4 6 10 11 0 3 5 3 1 1 12 5 1 6 1 1 8 0 11 10 3 6 3 6 10 5 0 10 1 9 1 1 12 0 1 12 8 10 1 8 5 5 12 6 12 12 5 8 3 10 6
14,4.569155458771099,0,0.0,14,............ 1 3 10 10 1 3 2 1 11 11 11 0 10 10 1 1 8 1 0 1 9 5 11 10 9 6 1 3 5 1 9 6 3 11 12 11 5 10 0 12 0 6 6 3 11 1 10 1 0 2 6 10 11 0 3 5 3 1 1 9 5 1 6 1 1 4 0 11 10 3 6 3 6 10 5 0 12 1 9 1 1 9 0 1 9 4 10 1 4 5 5 12 6 9 9 5 4 3 10 6
15,4.3699473945687295,0,0.0,15,............ 1 3 10 10 1 3 2 1 11 11 11 0 10 10 1 1 9 1 0 1 9 5 11 10 9 6 1 3 5 1 9 6 3 11 12 11 5 10 0 14 0 6 6 3 11 1 10 1 0 2 6 10 11 0 3 5 3 1 1 14 5 1 6 1 1 4 0 11 10 3 6 3 6 10 5 0 12 1 9 1 1 14 0 1 14 4 10 1 4 5 5 14 6 14 14 5 8 3 10 6
16,4.156813361611089,0,0.0,16,............ 1 3 10 10 1 3 15 1 11 11 11 0 10 10 1 1 8 1 0 1 8 5 11 10 8 6 1 3 5 1 8 6 3 11 12 11 5 10 0 9 0 6 6 3 11 1 10 1 0 15 6 10 11 0 3 5 3 1 1 9 5 1 6 1 1 2 0 11 10 3 6 3 6 10 5 0 12 1 8 1 1 9 0 1 9 2 10 1 2 5 5 14 6 9 9 5 4 3 10 6
17,3.972103527721306,0,0.0,17,............ 1 3 10 10 1 3 7 1 11 11 11 0 10 10 1 1 4 1 0 1 4 5 11 10 4 6 1 3 5 1 4 6 3 11 12 11 5 10 0 8 0 6 6 3 11 1 10 1 0 7 6 10 11 0 3 5 3 1 1 8 5 1 6 1 1 15 0 11 10 3 6 3 6 10 5 0 12 1 4 1 1 8 0 1 8 15 10 1 15 5 5 9 6 8 8 5 2 3 10 6
18,3.9143992980517988,0,0.0,18,............ 1 3 10 10 1 3 17 1 11 11 11 0 10 10 1 1 2 1 0 1 4 5 11 10 4 6 1 3 5 1 4 6 3 11 12 11 5 10 0 8 0 6 6 3 11 1 10 1 0 7 6 10 11 0 3 5 3 1 1 8 5 1 6 1 1 7 0 11 10 3 6 3 6 10 5 0 12 1 4 1 1 8 0 1 8 7 10 1 15 5 5 9 6 8 8 5 15 3 10 6
19,3.7238778559177743,0,0.0,19,............ 18 3 10 10 1 3 17 1 11 11 11 0 10 10 1 18 2 1 0 18 4 5 11 10 4 6 1 3 5 18 4 6 3 11 12 11 5 10 0 8 0 6 6 3 11 18 10 18 0 7 6 10 11 0 3 5 3 1 1 8 5 18 6 18 18 7 0 11 10 3 6 3 6 10 5 0 12 1 4 1 1 8 0 18 8 7 10 18 15 5 5 9 6 8 8 5 15 3 10 6
20,3.589413418054557,0,0.0,20,............ 18 3 10 10 1 3 17 1 11 11 11 0 10 10 1 18 15 1 0 18 2 5 11 10 2 6 1 3 5 18 2 6 3 11 12 11 5 10 0 8 0 6 6 3 11 18 10 18 0 19 6 10 11 0 3 5 3 1 1 4 5 18 6 18 18 19 0 11 10 3 6 3 6 10 5 0 12 1 2 1 1 4 0 18 4 19 10 18 7 5 5 9 6 4 4 5 7 3 10 6
21,3.5333099419122056,0,0.0,21,............ 18 3 10 10 1 3 17 1 11 11 11 0 10 10 1 18 15 1 0 18 2 5 11 10 2 6 1 3 5 18 2 6 3 11 12 11 5 10 0 8 0 6 6 3 11 18 10 18 0 20 6 10 11 0 3 5 3 1 1 4 5 18 6 18 18 20 0 11 10 3 6 3 6 10 5 0 12 1 2 1 1 4 0 18 4 20 10 18 19 5 5 9 6 4 4 5 7 3 10 6
22,3.4540670318976194,0,0.0,22,............ 18 3 10 10 1 3 13 1 11 11 11 0 10 10 1 18 15 1 0 18 2 5 11 10 2 6 1 3 5 18 2 6 3 11 12 11 5 10 0 8 0 6 6 3 11 18 10 18 0 17 6 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 6 3 6 10 5 0 12 1 2 1 1 4 0 18 4 17 10 18 20 5 5 9 6 4 4 5 19 3 10 6
23,3.347538101950515,0,0.0,23,............ 18 3 10 10 1 3 13 1 11 11 11 0 10 10 1 18 15 1 0 18 2 5 11 10 2 6 1 3 5 18 2 6 3 11 12 11 5 10 0 8 0 6 6 3 11 18 10 18 0 17 6 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 6 3 6 10 5 0 12 1 2 1 1 4 0 18 22 17 10 18 20 5 5 9 6 4 4 5 19 3 10 6
24,3.241761449678503,0,0.0,24,............ 18 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 15 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 18 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 6 5 0 12 1 2 1 1 4 0 18 22 17 6 18 20 5 5 9 23 4 4 5 19 3 10 6
25,3.1639360753935835,0,0.0,25,............ 18 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 18 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 6 5 0 12 1 24 1 1 4 0 18 22 17 6 18 20 5 5 9 23 4 4 5 19 3 10 6
26,3.0617800103472512,0,0.0,26,............ 25 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 6 5 0 12 1 24 1 1 4 0 18 22 17 6 18 20 5 5 9 23 4 4 5 19 3 10 6
27,3.0874377376801907,0,0.0,27,............ 25 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 26 0 11 10 3 23 3 23 6 5 0 12 1 24 1 1 4 0 18 22 26 6 18 20 5 5 9 23 4 4 5 19 3 10 6
28,3.054992743278393,0,0.0,28,............ 25 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 26 0 11 10 3 23 3 23 6 5 0 12 1 27 1 1 4 0 18 22 26 6 18 20 5 5 9 23 4 4 5 19 3 10 6
29,2.9956251774182188,0,0.0,29,............ 25 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 26 0 11 10 3 23 3 23 6 5 0 12 1 28 1 1 4 0 18 22 26 6 18 20 5 5 9 23 4 4 5 19 3 10 6
30,2.9368202296168233,0,0.0,30,............ 25 3 10 10 1 3 13 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 17 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 26 0 11 10 3 23 3 23 6 5 0 12 1 28 1 1 4 0 18 22 26 6 18 20 5 5 9 23 4 4 5 19 3 10 6
31,2.8835918903895372,0,0.0,31,............ 25 3 10 10 1 3 21 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 13 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 6 5 0 12 1 28 1 1 4 0 18 22 17 6 18 26 5 5 9 23 4 4 5 20 3 10 6
32,2.6133111260675954,1,0.03125,31,............ 25 3 10 10 1 3 21 1 11 11 11 0 10 6 1 18 24 1 0 18 2 5 11 6 2 6 1 3 5 18 2 6 3 11 12 11 5 6 0 8 0 6 6 3 11 25 6 18 0 13 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 6 5 0 12 1 28 1 1 4 0 18 22 17 6 18 26 5 5 9 23 4 4 5 20 3 10 6
33,2.558202107816642,1,0.030303030303030304,32,............ 25 3 10 10 1 3 21 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 13 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 17 32 18 26 5 5 9 23 4 4 5 20 3 10 6
34,2.538323877180116,1,0.029411764705882353,33,............ 25 3 10 10 1 3 21 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 13 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 17 32 18 26 5 5 9 23 4 4 5 20 3 10 6
35,2.5628620341144397,1,0.02857142857142857,34,............ 25 3 10 10 1 3 21 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 13 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 17 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 17 32 18 26 5 5 9 23 4 4 5 34 3 10 6
