NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,0.7402913192005278,0,0.0,2,............ 1 0 0 1 1 1 0 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 1 1 1
3,0.703465037601467,0,0.0,3,............ 1 0 2 1 1 1 2 1 1 0 1 1 2 0 2 1 0 1 2 1 1 0 0 2 1 1 1 1 1 2 1 1 2 1 0 2 1 1 1 2 0 1 0 1 1 1 1 1 1 0 1 1 2 2 1 2 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 2 1 1 1 0 1 1 1 0 0 0 1 1 1
4,0.7285327155536881,0,0.0,4,............ 1 0 2 1 1 1 2 3 1 0 3 1 2 0 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 0 1 0 3 3 1 1 1 1 0 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 0 1 0 1 1 3 0 0 3 1 3 3 3 2 1 3 1 0 1 3 3 0 0 0 1 3 3
5,0.7583982742030873,0,0.0,5,............ 1 4 2 1 1 1 2 3 1 4 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 4 1 0 3 3 1 1 1 1 4 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 4 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
6,0.8278005542942338,0,0.0,6,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 5 1 0 3 3 1 1 1 1 4 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 4 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
7,0.8312676367995867,0,0.0,7,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 5 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
8,0.9691156283678493,0,0.0,8,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
9,0.8618220781686632,0,0.0,9,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
10,0.8618220781686632,0,0.0,10,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
11,0.8618220781686632,0,0.0,11,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
