NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.543633155738322,0,0.0,2
3,1.8016017692965063,0,0.0,3
4,2.706404879690715,0,0.0,4
5,3.057862033109451,0,0.0,5
6,2.6784467402655845,0,0.0,6
7,2.3864204308290526,0,0.0,7
8,2.2145282672971542,0,0.0,8
9,2.0218074661447623,0,0.0,9
10,1.8851358549534887,0,0.0,10
11,1.7372976669890228,0,0.0,11
12,1.6377024682217047,0,0.0,12
13,1.5804758790356057,0,0.0,13
14,2.8224744560154327,0,0.0,14
15,2.7012975685168863,0,0.0,15
16,2.619276410286028,0,0.0,16
17,2.540818594491009,0,0.0,17
18,2.4467395736738666,0,0.0,18
19,2.357556228027242,0,0.0,19
20,2.3481225734499946,0,0.0,20
21,2.2781767166922178,0,0.0,21
22,2.0326956848847684,1,0.045454545454545456,21
23,1.9904739083910987,1,0.043478260869565216,22
24,1.9498320320629705,1,0.041666666666666664,23
25,1.947386557072557,1,0.04,24
26,1.9179890547434595,1,0.038461538461538464,25
27,1.9092410563905422,1,0.037037037037037035,26
28,2.0357439867453366,1,0.03571428571428571,27
29,2.0922427508160624,1,0.034482758620689655,28
30,2.078390214677749,1,0.03333333333333333,29
31,2.1445348501749844,1,0.03225806451612903,30
32,2.093505620844501,1,0.03125,31
33,2.0589668377237373,1,0.030303030303030304,32
34,2.0397547913250693,1,0.029411764705882353,33
35,2.090271834402289,1,0.02857142857142857,34
36,2.0568449712773575,1,0.027777777777777776,35
37,2.099584217919068,1,0.02702702702702703,36
38,2.2518038061693177,1,0.02631578947368421,37
39,2.2555019584734826,1,0.02564102564102564,38
40,2.4130806793529156,1,0.025,39
41,2.4188983042141157,1,0.024390243902439025,40
42,2.40892453506616,1,0.023809523809523808,41
43,2.5713452638556884,1,0.023255813953488372,42
44,2.571996507858968,1,0.022727272727272728,43
45,2.653359548425065,1,0.022222222222222223,44
46,2.6747150861922218,1,0.021739130434782608,45
47,2.65725660918104,1,0.02127659574468085,46
48,2.6135538425215143,1,0.020833333333333332,47
49,2.6105561450550887,1,0.02040816326530612,48
50,2.579145022153987,1,0.02,49
51,2.5168088452490074,1,0.0196078431372549,50
52,2.510716367455757,1,0.019230769230769232,51
53,3.5605141718433844,2,0.03773584905660377,51
54,3.547047860019124,3,0.05555555555555555,51
55,3.5916469898369585,3,0.05454545454545454,52
56,3.309058055494632,4,0.07142857142857142,52
57,3.3007120077374164,5,0.08771929824561403,52
58,3.2897801915120577,6,0.10344827586206896,52
59,3.2340212052152433,6,0.1016949152542373,53
60,3.208295454969593,6,0.1,54
61,3.3674490813908564,6,0.09836065573770492,55
62,3.5819525908307885,7,0.11290322580645161,55
63,3.5224506978546386,7,0.1111111111111111,56
64,3.5767874057006597,8,0.125,56
65,3.5217599071514187,8,0.12307692307692308,57
66,3.4683999085582156,8,0.12121212121212122,58
67,3.4166327457439136,8,0.11940298507462686,59
68,3.3810940288947386,9,0.1323529411764706,59
69,3.346585419780322,10,0.14492753623188406,59
70,3.3059199137834603,11,0.15714285714285714,59
71,3.2898740934015334,12,0.16901408450704225,59
72,3.3066813976598457,13,0.18055555555555555,59
73,3.2613843922124506,13,0.1780821917808219,60
74,3.413257576101471,14,0.1891891891891892,60
75,3.0744141417534516,15,0.2,60
76,3.0744141417534516,15,0.19736842105263158,61
77,3.0744141417534516,15,0.19480519480519481,62
78,3.0744141417534516,15,0.19230769230769232,63
79,3.0744141417534516,15,0.189873417721519,64
80,3.0744141417534516,15,0.1875,65
81,3.0744141417534516,15,0.18518518518518517,66
82,3.0744141417534516,15,0.18292682926829268,67
83,3.0744141417534516,15,0.18072289156626506,68
84,3.0744141417534516,15,0.17857142857142858,69
85,3.0744141417534516,15,0.17647058823529413,70
86,3.0744141417534516,15,0.1744186046511628,71
87,3.0744141417534516,15,0.1724137931034483,72
88,3.0744141417534516,15,0.17045454545454544,73
89,3.0744141417534516,15,0.16853932584269662,74
90,3.0744141417534516,15,0.16666666666666666,75
91,3.0744141417534516,15,0.16483516483516483,76
92,3.0744141417534516,15,0.16304347826086957,77
93,3.0744141417534516,15,0.16129032258064516,78
94,3.0744141417534516,15,0.1595744680851064,79
95,3.0744141417534516,15,0.15789473684210525,80
96,3.0744141417534516,15,0.15625,81
97,3.0744141417534516,15,0.15463917525773196,82
98,3.0744141417534516,15,0.15306122448979592,83
99,3.0744141417534516,15,0.15151515151515152,84
100,3.0744141417534516,15,0.15,85
101,3.0744141417534516,15,0.1485148514851485,86
102,3.0744141417534516,15,0.14705882352941177,87
103,3.0744141417534516,15,0.14563106796116504,88
104,3.0744141417534516,15,0.14423076923076922,89
105,3.0744141417534516,15,0.14285714285714285,90
106,3.0744141417534516,15,0.14150943396226415,91
107,3.0744141417534516,15,0.14018691588785046,92
108,3.0744141417534516,15,0.1388888888888889,93
109,3.0744141417534516,15,0.13761467889908258,94
110,3.0744141417534516,15,0.13636363636363635,95
111,3.0744141417534516,15,0.13513513513513514,96
112,3.0744141417534516,15,0.13392857142857142,97
113,3.0744141417534516,15,0.13274336283185842,98
114,3.0744141417534516,15,0.13157894736842105,99
115,3.0744141417534516,15,0.13043478260869565,100
116,3.0744141417534516,15,0.12931034482758622,101
117,3.0744141417534516,15,0.1282051282051282,102
118,3.0744141417534516,15,0.1271186440677966,103
119,3.0744141417534516,15,0.12605042016806722,104
120,3.0744141417534516,15,0.125,105
121,3.0744141417534516,15,0.12396694214876033,106
122,3.0744141417534516,15,0.12295081967213115,107
123,3.0744141417534516,15,0.12195121951219512,108
124,3.0744141417534516,15,0.12096774193548387,109
125,3.0744141417534516,15,0.12,110
126,3.0744141417534516,15,0.11904761904761904,111
127,3.0744141417534516,15,0.11811023622047244,112
128,3.0744141417534516,15,0.1171875,113
129,3.0744141417534516,15,0.11627906976744186,114
130,3.0744141417534516,15,0.11538461538461539,115
131,3.0744141417534516,15,0.11450381679389313,116
132,3.0744141417534516,15,0.11363636363636363,117
133,3.0744141417534516,15,0.11278195488721804,118
134,3.0744141417534516,15,0.11194029850746269,119
135,3.0744141417534516,15,0.1111111111111111,120
136,3.0744141417534516,15,0.11029411764705882,121
137,3.0744141417534516,15,0.10948905109489052,122
138,3.0744141417534516,15,0.10869565217391304,123
139,3.0744141417534516,15,0.1079136690647482,124
140,3.0744141417534516,15,0.10714285714285714,125
141,3.0744141417534516,15,0.10638297872340426,126
142,3.0744141417534516,15,0.1056338028169014,127
143,3.0744141417534516,15,0.1048951048951049,128
144,3.0744141417534516,15,0.10416666666666667,129
145,3.0744141417534516,15,0.10344827586206896,130
146,3.0744141417534516,15,0.10273972602739725,131
147,3.0744141417534516,15,0.10204081632653061,132
148,3.0744141417534516,15,0.10135135135135136,133
149,3.0744141417534516,15,0.10067114093959731,134
