NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8937100664601738,0,0.0,2
3,0.9032767470359225,0,0.0,3
4,0.8653973443394516,0,0.0,4
5,0.8459309617111559,0,0.0,5
6,0.8068399575012947,0,0.0,6
7,0.7597465656815515,0,0.0,7
8,0.736909140694763,0,0.0,8
9,0.8079363310472781,0,0.0,9
10,0.7612853970943226,0,0.0,10
11,0.7428590246443072,0,0.0,11
12,0.7384080155860709,0,0.0,12
13,0.7345757502424312,0,0.0,13
14,0.736162717340651,0,0.0,14
15,0.7448413215167824,0,0.0,15
16,0.7685974215734886,0,0.0,16
17,0.7750838646414331,0,0.0,17
18,0.8140804288419192,0,0.0,18
19,0.7968541810258136,0,0.0,19
20,0.8111292251821214,0,0.0,20
21,0.8311578354630166,0,0.0,21
22,0.8218233433909584,0,0.0,22
23,0.8470542266633211,0,0.0,23
24,0.8423666130623175,0,0.0,24
25,0.8435695613300443,0,0.0,25
26,0.8738691076931457,0,0.0,26
27,0.8828166456153566,0,0.0,27
28,0.877206421639383,0,0.0,28
29,0.8598806657088178,0,0.0,29
30,0.8718279885630732,0,0.0,30
31,0.8855826533624278,0,0.0,31
32,0.8956866475040943,0,0.0,32
33,0.9072177192611887,0,0.0,33
34,0.9009724032722035,0,0.0,34
35,0.9074748945659827,0,0.0,35
36,0.9288041377153539,0,0.0,36
37,0.9297771907740516,0,0.0,37
38,0.9285004511074901,0,0.0,38
39,0.911652278101881,0,0.0,39
40,0.9164783049234616,0,0.0,40
41,0.9203951029598693,0,0.0,41
42,0.8960514448132474,0,0.0,42
43,0.9572891385550766,1,0.023255813953488372,42
44,0.9491939212935478,1,0.022727272727272728,43
45,0.9629564498620123,1,0.022222222222222223,44
46,0.9589197996564804,1,0.021739130434782608,45
47,0.973257523083035,1,0.02127659574468085,46
48,0.967519665534334,1,0.020833333333333332,47
49,0.9671036033088876,1,0.02040816326530612,48
50,0.9620270738321406,1,0.02,49
51,0.9607011025397948,1,0.0196078431372549,50
52,0.9881104368668436,1,0.019230769230769232,51
53,0.9969702375608068,1,0.018867924528301886,52
54,1.0217679110022995,1,0.018518518518518517,53
55,1.0341987800236156,1,0.01818181818181818,54
56,1.037746375676806,1,0.017857142857142856,55
57,1.0749138225890233,1,0.017543859649122806,56
58,1.1091123840909325,1,0.017241379310344827,57
59,1.1154082672926537,1,0.01694915254237288,58
60,1.136243435619684,1,0.016666666666666666,59
61,1.1320258988513288,1,0.01639344262295082,60
62,1.1293341635467247,1,0.016129032258064516,61
63,1.1241886357526316,1,0.015873015873015872,62
64,1.1278987334925998,1,0.015625,63
65,1.1250085627184039,1,0.015384615384615385,64
66,1.1209554026772157,1,0.015151515151515152,65
67,1.1274275270033602,1,0.014925373134328358,66
68,1.1081139246077607,1,0.014705882352941176,67
69,1.0802370922070734,1,0.014492753623188406,68
70,1.0752917899479142,1,0.014285714285714285,69
71,1.0689496520613238,1,0.014084507042253521,70
72,1.0580300597001866,1,0.013888888888888888,71
73,1.0560730836451444,1,0.0136986301369863,72
74,1.0466986540244412,1,0.013513513513513514,73
75,1.0389180918772434,1,0.013333333333333334,74
76,1.0736503726232194,1,0.013157894736842105,75
77,1.0779434741173992,1,0.012987012987012988,76
78,1.0715696820750829,1,0.01282051282051282,77
79,1.0618853561818278,1,0.012658227848101266,78
80,1.049235514462655,1,0.0125,79
81,1.035270819692687,1,0.012345679012345678,80
82,1.0104504438427762,1,0.012195121951219513,81
83,1.009389745762953,1,0.012048192771084338,82
84,1.009525433858484,1,0.011904761904761904,83
85,1.017915057785366,1,0.011764705882352941,84
86,1.0170638859892043,1,0.011627906976744186,85
87,1.0226148758054203,2,0.022988505747126436,85
88,1.0178514242433319,2,0.022727272727272728,86
89,1.0145227418057652,2,0.02247191011235955,87
90,1.0183911570715778,2,0.022222222222222223,88
91,1.039062238346131,2,0.02197802197802198,89
92,1.0371883734365717,2,0.021739130434782608,90
93,1.0409956163441636,2,0.021505376344086023,91
94,1.0495949686585189,2,0.02127659574468085,92
95,1.063198158951162,2,0.021052631578947368,93
96,1.0670616532099921,2,0.020833333333333332,94
97,1.0687986286949833,2,0.020618556701030927,95
98,1.0764796729683428,2,0.02040816326530612,96
99,1.0673080245391227,2,0.020202020202020204,97
100,1.0611318515371087,2,0.02,98
101,1.0498005130730448,2,0.019801980198019802,99
102,1.048133018996016,2,0.0196078431372549,100
103,1.0445870715581949,2,0.019417475728155338,101
104,1.0679538159459658,2,0.019230769230769232,102
105,1.0648033904337102,2,0.01904761904761905,103
106,1.0575644409718332,2,0.018867924528301886,104
107,1.0677799459228643,2,0.018691588785046728,105
108,1.1007697335078523,2,0.018518518518518517,106
109,1.1039227125072706,2,0.01834862385321101,107
110,1.093275897932147,2,0.01818181818181818,108
111,1.082456010976361,2,0.018018018018018018,109
112,1.088947687749106,2,0.017857142857142856,110
113,1.08006465365544,2,0.017699115044247787,111
114,1.0946030855307947,2,0.017543859649122806,112
115,1.1169570399201603,2,0.017391304347826087,113
116,1.1073280999208486,2,0.017241379310344827,114
117,1.0984071472043249,2,0.017094017094017096,115
118,1.1160653309494717,2,0.01694915254237288,116
119,1.1122888715857506,3,0.025210084033613446,116
120,1.1227849702332677,3,0.025,117
121,1.1164191874422926,3,0.024793388429752067,118
122,1.1234644387716513,3,0.02459016393442623,119
123,1.1132958439257619,3,0.024390243902439025,120
124,1.1201778666898015,3,0.024193548387096774,121
125,1.1159021580419974,3,0.024,122
126,1.1100149793834009,3,0.023809523809523808,123
127,1.159421567828606,3,0.023622047244094488,124
128,1.1620823368299449,3,0.0234375,125
129,1.1554272135101114,3,0.023255813953488372,126
130,1.3084722507237416,3,0.023076923076923078,127
131,1.2993950701853285,3,0.022900763358778626,128
132,1.2992455161707248,3,0.022727272727272728,129
133,1.3057674797082885,3,0.022556390977443608,130
134,1.3406038074994706,3,0.022388059701492536,131
135,1.3392787365783474,3,0.022222222222222223,132
136,1.3239163929270361,3,0.022058823529411766,133
137,1.3265209151008235,3,0.021897810218978103,134
138,1.3241548215131365,4,0.028985507246376812,134
139,1.3146285278331857,4,0.02877697841726619,135
140,1.316224718620772,4,0.02857142857142857,136
141,1.395922213017585,4,0.028368794326241134,137
142,1.3825706481371796,5,0.035211267605633804,137
143,1.3730688220929301,5,0.03496503496503497,138
144,1.3635336219395071,5,0.034722222222222224,139
145,1.3625455379117068,5,0.034482758620689655,140
146,1.3418627406853059,5,0.03424657534246575,141
147,1.3326741655183458,5,0.034013605442176874,142
148,1.327047988724303,5,0.033783783783783786,143
149,1.3280713163806754,5,0.03355704697986577,144
150,1.3192175076048043,5,0.03333333333333333,145
151,1.3140073334021731,5,0.033112582781456956,146
152,1.312105881556045,5,0.03289473684210526,147
153,1.3135518126134127,5,0.032679738562091505,148
154,1.3063931067595016,5,0.032467532467532464,149
155,1.2984711278391652,5,0.03225806451612903,150
156,1.2881486679694745,5,0.03205128205128205,151
157,1.2781240631689408,5,0.03184713375796178,152
158,1.2701595870862594,5,0.03164556962025317,153
159,1.260913300375025,5,0.031446540880503145,154
160,1.2532640737291625,5,0.03125,155
161,1.2630781685093129,5,0.031055900621118012,156
162,1.2551147495767594,5,0.030864197530864196,157
163,1.265235284271147,5,0.03067484662576687,158
164,1.2825881856543175,6,0.036585365853658534,158
165,1.2701168442249995,6,0.03636363636363636,159
166,1.2672848150429212,6,0.03614457831325301,160
167,1.2687135428147671,6,0.03592814371257485,161
168,1.2717696696857677,6,0.03571428571428571,162
169,1.2595106775574496,6,0.03550295857988166,163
170,1.2347328188365347,6,0.03529411764705882,164
171,1.247815053064361,6,0.03508771929824561,165
172,1.3253644699681053,6,0.03488372093023256,166
173,1.324928837193723,6,0.03468208092485549,167
174,1.321528863033606,6,0.034482758620689655,168
175,1.3196915552448423,6,0.03428571428571429,169
176,1.311787463616016,6,0.03409090909090909,170
177,1.3049412067594284,6,0.03389830508474576,171
178,1.2873104509162108,6,0.033707865168539325,172
179,1.2790945638533642,6,0.0335195530726257,173
180,1.2714593824139675,6,0.03333333333333333,174
181,1.2727220377597466,6,0.03314917127071823,175
182,1.2941212035940832,6,0.03296703296703297,176
183,1.2834065157784507,6,0.03278688524590164,177
184,1.276135037678864,6,0.03260869565217391,178
185,1.2692370104481676,6,0.032432432432432434,179
186,1.262477159649547,6,0.03225806451612903,180
187,1.283558896254426,6,0.03208556149732621,181
188,1.2693732992885338,6,0.031914893617021274,182
189,1.3473131231018218,6,0.031746031746031744,183
190,1.3433984351326733,6,0.031578947368421054,184
191,1.337673835995853,6,0.031413612565445025,185
192,1.3344683588407822,6,0.03125,186
193,1.3286334623355622,6,0.031088082901554404,187
194,1.3402556266190557,6,0.030927835051546393,188
195,1.3397927772517786,6,0.03076923076923077,189
196,1.3585408910256118,6,0.030612244897959183,190
197,1.3513063348951941,6,0.030456852791878174,191
198,1.3276465385910097,6,0.030303030303030304,192
199,1.3294618267834613,7,0.035175879396984924,192
200,1.2603145176495438,7,0.035,193
201,1.2540442961687004,7,0.03482587064676617,194
