NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8915881195415194,0,0.0,2
3,1.1679258815413671,0,0.0,3
4,1.2288296494845363,0,0.0,4
5,1.122572544277051,0,0.0,5
6,1.077799394590413,0,0.0,6
7,1.0540485076931163,0,0.0,7
8,1.085078029381131,0,0.0,8
9,1.018487351376893,0,0.0,9
10,1.1032677304551712,0,0.0,10
11,1.1171916225527816,0,0.0,11
12,1.0515505426093874,0,0.0,12
13,0.9322005008702038,0,0.0,13
14,0.9401627801780572,0,0.0,14
15,0.9837139035658902,0,0.0,15
16,0.915981784593022,0,0.0,16
17,0.9150416796169618,0,0.0,17
18,0.8642060307493529,0,0.0,18
19,0.9208628856841135,0,0.0,19
20,0.9469194146025222,0,0.0,20
21,0.901828013907164,0,0.0,21
22,0.8608358314568384,0,0.0,22
23,0.8234081866108889,0,0.0,23
24,0.7890995121687685,0,0.0,24
25,0.7575355316820178,0,0.0,25
26,0.7283995496942478,0,0.0,26
27,0.7283995496942478,0,0.0,27
28,0.7283995496942478,0,0.0,28
29,0.7283995496942478,0,0.0,29
30,0.7283995496942478,0,0.0,30
31,0.7283995496942478,0,0.0,31
32,0.7283995496942478,0,0.0,32
33,0.7283995496942478,0,0.0,33
34,0.7283995496942478,0,0.0,34
35,0.7283995496942478,0,0.0,35
36,0.7283995496942478,0,0.0,36
37,0.7283995496942478,0,0.0,37
38,0.7283995496942478,0,0.0,38
39,0.7283995496942478,0,0.0,39
40,0.7283995496942478,0,0.0,40
41,0.7283995496942478,0,0.0,41
42,0.7283995496942478,0,0.0,42
43,0.7283995496942478,0,0.0,43
44,0.7283995496942478,0,0.0,44
45,0.7283995496942478,0,0.0,45
46,0.7283995496942478,0,0.0,46
47,0.7283995496942478,0,0.0,47
48,0.7283995496942478,0,0.0,48
49,0.7283995496942478,0,0.0,49
50,0.7283995496942478,0,0.0,50
51,0.7283995496942478,0,0.0,51
52,0.7283995496942478,0,0.0,52
53,0.7283995496942478,0,0.0,53
54,0.7283995496942478,0,0.0,54
55,0.7283995496942478,0,0.0,55
56,0.7283995496942478,0,0.0,56
57,0.7283995496942478,0,0.0,57
58,0.7283995496942478,0,0.0,58
59,0.7283995496942478,0,0.0,59
60,0.7283995496942478,0,0.0,60
61,0.7283995496942478,0,0.0,61
62,0.7283995496942478,0,0.0,62
63,0.7283995496942478,0,0.0,63
64,0.7283995496942478,0,0.0,64
65,0.7283995496942478,0,0.0,65
66,0.7283995496942478,0,0.0,66
67,0.7283995496942478,0,0.0,67
68,0.7283995496942478,0,0.0,68
69,0.7283995496942478,0,0.0,69
70,0.7283995496942478,0,0.0,70
71,0.7283995496942478,0,0.0,71
72,0.7283995496942478,0,0.0,72
73,0.7283995496942478,0,0.0,73
74,0.7283995496942478,0,0.0,74
75,0.7283995496942478,0,0.0,75
76,0.7283995496942478,0,0.0,76
77,0.7283995496942478,0,0.0,77
78,0.7283995496942478,0,0.0,78
79,0.7283995496942478,0,0.0,79
80,0.7283995496942478,0,0.0,80
81,0.7283995496942478,0,0.0,81
82,0.7283995496942478,0,0.0,82
83,0.7283995496942478,0,0.0,83
84,0.7283995496942478,0,0.0,84
85,0.7283995496942478,0,0.0,85
86,0.7283995496942478,0,0.0,86
87,0.7283995496942478,0,0.0,87
88,0.7283995496942478,0,0.0,88
89,0.7283995496942478,0,0.0,89
90,0.7283995496942478,0,0.0,90
91,0.7283995496942478,0,0.0,91
92,0.7283995496942478,0,0.0,92
93,0.7283995496942478,0,0.0,93
94,0.7283995496942478,0,0.0,94
95,0.7283995496942478,0,0.0,95
96,0.7283995496942478,0,0.0,96
97,0.7283995496942478,0,0.0,97
98,0.7283995496942478,0,0.0,98
99,0.7283995496942478,0,0.0,99
100,0.7283995496942478,0,0.0,100
101,0.7283995496942478,0,0.0,101
102,0.7283995496942478,0,0.0,102
103,0.7283995496942478,0,0.0,103
104,0.7283995496942478,0,0.0,104
105,0.7283995496942478,0,0.0,105
106,0.7283995496942478,0,0.0,106
107,0.7283995496942478,0,0.0,107
108,0.7283995496942478,0,0.0,108
109,0.7283995496942478,0,0.0,109
110,0.7283995496942478,0,0.0,110
111,0.7283995496942478,0,0.0,111
112,0.7283995496942478,0,0.0,112
113,0.7283995496942478,0,0.0,113
114,0.7283995496942478,0,0.0,114
115,0.7283995496942478,0,0.0,115
116,0.7283995496942478,0,0.0,116
117,0.7283995496942478,0,0.0,117
118,0.7283995496942478,0,0.0,118
119,0.7283995496942478,0,0.0,119
120,0.7283995496942478,0,0.0,120
121,0.7283995496942478,0,0.0,121
122,0.7283995496942478,0,0.0,122
123,0.7283995496942478,0,0.0,123
124,0.7283995496942478,0,0.0,124
125,0.7283995496942478,0,0.0,125
126,0.7283995496942478,0,0.0,126
127,0.7283995496942478,0,0.0,127
128,0.7283995496942478,0,0.0,128
129,0.7283995496942478,0,0.0,129
130,0.7283995496942478,0,0.0,130
131,0.7283995496942478,0,0.0,131
132,0.7283995496942478,0,0.0,132
133,0.7283995496942478,0,0.0,133
134,0.7283995496942478,0,0.0,134
135,0.7283995496942478,0,0.0,135
136,0.7283995496942478,0,0.0,136
137,0.7283995496942478,0,0.0,137
138,0.7283995496942478,0,0.0,138
139,0.7283995496942478,0,0.0,139
140,0.7283995496942478,0,0.0,140
141,0.7283995496942478,0,0.0,141
142,0.7283995496942478,0,0.0,142
143,0.7283995496942478,0,0.0,143
