NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.4157998093648043,0,0.0,2
3,2.0044377449356565,0,0.0,3
4,1.7317991368829937,0,0.0,4
5,1.6293117329663414,0,0.0,5
6,1.4522574233369232,0,0.0,6
7,1.3262973397219704,0,0.0,7
8,1.226274570056886,0,0.0,8
9,1.206326044671447,0,0.0,9
10,1.2722613815679227,0,0.0,10
11,1.2412362630508365,0,0.0,11
12,1.1762657356936674,0,0.0,12
13,1.1459168399083441,0,0.0,13
14,1.1431630549222445,0,0.0,14
15,1.0837376182169194,0,0.0,15
16,1.0871045543556737,0,0.0,16
17,1.096011579080982,0,0.0,17
18,1.0892208934527159,0,0.0,18
19,1.109456014050578,0,0.0,19
20,1.0902644632151615,0,0.0,20
21,1.1121070182827757,0,0.0,21
22,1.1259864807253612,0,0.0,22
23,1.1670078650273872,0,0.0,23
24,1.1937674031984213,0,0.0,24
25,1.6187151197688974,0,0.0,25
26,1.5781236791634872,0,0.0,26
27,1.5713808964922111,0,0.0,27
28,1.6223851308907007,0,0.0,28
29,1.674474780859844,0,0.0,29
30,1.6534605421327697,0,0.0,30
31,1.6476246658623608,0,0.0,31
32,1.6496778288304608,0,0.0,32
33,1.6701955293441948,0,0.0,33
34,1.6777391666574535,0,0.0,34
35,1.6537843028301342,0,0.0,35
36,1.617172443859159,0,0.0,36
37,1.604372332847438,0,0.0,37
38,1.7393449907549619,0,0.0,38
39,1.7097036662056893,0,0.0,39
40,1.6815444078838802,0,0.0,40
41,1.7236273356048697,0,0.0,41
42,1.7154684081131437,0,0.0,42
43,1.654858531121652,0,0.0,43
44,1.6456572008688872,0,0.0,44
45,1.643275288900679,0,0.0,45
46,1.5745808985622587,0,0.0,46
47,1.5540772797830464,0,0.0,47
48,1.6298414260900873,0,0.0,48
49,1.6660642930017568,0,0.0,49
50,1.6367430071417217,1,0.02,49
51,1.632772707215181,1,0.0196078431372549,50
52,1.6013732320764276,1,0.019230769230769232,51
53,1.6403410327290737,1,0.018867924528301886,52
54,1.6408285444686586,2,0.037037037037037035,52
55,1.6261468133571073,2,0.03636363636363636,53
56,1.6195787154995398,2,0.03571428571428571,54
57,1.5911650538241093,2,0.03508771929824561,55
58,1.457696690827142,2,0.034482758620689655,56
59,1.4346848825080378,2,0.03389830508474576,57
60,1.6929163249424277,2,0.03333333333333333,58
61,1.6952182431127705,3,0.04918032786885246,58
62,1.6678760133851451,3,0.04838709677419355,59
63,1.6414017909504601,3,0.047619047619047616,60
64,1.5298173879668593,3,0.046875,61
65,1.5120654258385084,3,0.046153846153846156,62
66,1.489155343628834,3,0.045454545454545456,63
67,1.4819255908099247,3,0.04477611940298507,64
68,1.4576815870235043,3,0.04411764705882353,65
69,1.2553963466318592,4,0.057971014492753624,65
