NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.135415008782417,0,0.0,2
3,1.3785262710994077,0,0.0,3
4,1.3575526267916813,0,0.0,4
5,1.42113562752244,0,0.0,5
6,1.3900774435572254,0,0.0,6
7,1.3143185034885303,0,0.0,7
8,1.1949617675418274,0,0.0,8
9,1.3288679427825634,0,0.0,9
10,1.2507224953611265,0,0.0,10
11,1.2491570420644598,0,0.0,11
12,1.456637729623291,0,0.0,12
13,1.3807572719618444,0,0.0,13
14,1.343046998651932,0,0.0,14
15,1.3164246985999244,0,0.0,15
16,1.2958809353265996,0,0.0,16
17,1.3563032828527681,0,0.0,17
18,1.0731281060395004,0,0.0,18
19,1.077548173292314,0,0.0,19
20,1.132385763857161,0,0.0,20
21,1.1533096969702785,0,0.0,21
22,1.1921937184686586,0,0.0,22
23,1.2436170712278263,0,0.0,23
24,1.3765078418509489,0,0.0,24
25,1.4683560053268652,0,0.0,25
26,1.5200661786920056,0,0.0,26
27,1.6848075057990426,0,0.0,27
28,2.1632072377347913,0,0.0,28
29,2.1058552640197985,0,0.0,29
30,2.1174987128910963,0,0.0,30
31,2.1097390549829576,0,0.0,31
32,2.375927765070296,0,0.0,32
33,2.3178188428964486,0,0.0,33
34,2.295329306434041,0,0.0,34
35,2.4763244328261753,0,0.0,35
36,2.445416430904236,0,0.0,36
37,2.3354051760149317,0,0.0,37
38,2.2739471450671704,0,0.0,38
39,2.162727055100414,0,0.0,39
40,2.103658878722903,0,0.0,40
41,2.1755208572906373,0,0.0,41
42,2.1230424695320167,0,0.0,42
43,2.0736693888452256,0,0.0,43
44,1.9574117512199551,0,0.0,44
45,1.9139137123039562,0,0.0,45
46,1.881623662657597,0,0.0,46
47,1.9426529464308395,0,0.0,47
48,1.9021810100468637,0,0.0,48
49,1.8633609894336625,0,0.0,49
50,1.8460937696449893,1,0.02,49
51,1.8098958525931266,1,0.0196078431372549,50
52,1.8098958525931266,1,0.019230769230769232,51
53,1.8098958525931266,1,0.018867924528301886,52
54,1.8098958525931266,1,0.018518518518518517,53
55,1.8098958525931266,1,0.01818181818181818,54
56,1.8098958525931266,1,0.017857142857142856,55
57,1.8098958525931266,1,0.017543859649122806,56
58,1.8098958525931266,1,0.017241379310344827,57
59,1.8098958525931266,1,0.01694915254237288,58
60,1.8098958525931266,1,0.016666666666666666,59
61,1.8098958525931266,1,0.01639344262295082,60
62,1.8098958525931266,1,0.016129032258064516,61
63,1.8098958525931266,1,0.015873015873015872,62
64,1.8098958525931266,1,0.015625,63
65,1.8098958525931266,1,0.015384615384615385,64
66,1.8098958525931266,1,0.015151515151515152,65
67,1.8098958525931266,1,0.014925373134328358,66
68,1.8098958525931266,1,0.014705882352941176,67
69,1.8098958525931266,1,0.014492753623188406,68
70,1.8098958525931266,1,0.014285714285714285,69
71,1.8098958525931266,1,0.014084507042253521,70
72,1.8098958525931266,1,0.013888888888888888,71
73,1.8098958525931266,1,0.0136986301369863,72
74,1.8098958525931266,1,0.013513513513513514,73
75,1.8098958525931266,1,0.013333333333333334,74
76,1.8098958525931266,1,0.013157894736842105,75
77,1.8098958525931266,1,0.012987012987012988,76
78,1.8098958525931266,1,0.01282051282051282,77
79,1.8098958525931266,1,0.012658227848101266,78
80,1.8098958525931266,1,0.0125,79
81,1.8098958525931266,1,0.012345679012345678,80
82,1.8098958525931266,1,0.012195121951219513,81
83,1.8098958525931266,1,0.012048192771084338,82
84,1.8098958525931266,1,0.011904761904761904,83
85,1.8098958525931266,1,0.011764705882352941,84
86,1.8098958525931266,1,0.011627906976744186,85
87,1.8098958525931266,1,0.011494252873563218,86
88,1.8098958525931266,1,0.011363636363636364,87
89,1.8098958525931266,1,0.011235955056179775,88
90,1.8098958525931266,1,0.011111111111111112,89
91,1.8098958525931266,1,0.01098901098901099,90
92,1.8098958525931266,1,0.010869565217391304,91
93,1.8098958525931266,1,0.010752688172043012,92
94,1.8098958525931266,1,0.010638297872340425,93
95,1.8098958525931266,1,0.010526315789473684,94
96,1.8098958525931266,1,0.010416666666666666,95
97,1.8098958525931266,1,0.010309278350515464,96
98,1.8098958525931266,1,0.01020408163265306,97
99,1.8098958525931266,1,0.010101010101010102,98
100,1.8098958525931266,1,0.01,99
101,1.8098958525931266,1,0.009900990099009901,100
102,1.8098958525931266,1,0.00980392156862745,101
103,1.8098958525931266,1,0.009708737864077669,102
104,1.8098958525931266,1,0.009615384615384616,103
105,1.8098958525931266,1,0.009523809523809525,104
106,1.8098958525931266,1,0.009433962264150943,105
107,1.8098958525931266,1,0.009345794392523364,106
108,1.8098958525931266,1,0.009259259259259259,107
109,1.8098958525931266,1,0.009174311926605505,108
110,1.8098958525931266,1,0.00909090909090909,109
111,1.8098958525931266,1,0.009009009009009009,110
112,1.8098958525931266,1,0.008928571428571428,111
113,1.8098958525931266,1,0.008849557522123894,112
114,1.8098958525931266,1,0.008771929824561403,113
115,1.8098958525931266,1,0.008695652173913044,114
116,1.8098958525931266,1,0.008620689655172414,115
117,1.8098958525931266,1,0.008547008547008548,116
118,1.8098958525931266,1,0.00847457627118644,117
119,1.8098958525931266,1,0.008403361344537815,118
120,1.8098958525931266,1,0.008333333333333333,119
121,1.8098958525931266,1,0.008264462809917356,120
122,1.8098958525931266,1,0.00819672131147541,121
123,1.8098958525931266,1,0.008130081300813009,122
124,1.8098958525931266,1,0.008064516129032258,123
125,1.8098958525931266,1,0.008,124
126,1.8098958525931266,1,0.007936507936507936,125
127,1.8098958525931266,1,0.007874015748031496,126
128,1.8098958525931266,1,0.0078125,127
129,1.8098958525931266,1,0.007751937984496124,128
130,1.8098958525931266,1,0.007692307692307693,129
131,1.8098958525931266,1,0.007633587786259542,130
132,1.8098958525931266,1,0.007575757575757576,131
133,1.8098958525931266,1,0.007518796992481203,132
134,1.8098958525931266,1,0.007462686567164179,133
135,1.8098958525931266,1,0.007407407407407408,134
136,1.8098958525931266,1,0.007352941176470588,135
137,1.8098958525931266,1,0.0072992700729927005,136
138,1.8098958525931266,1,0.007246376811594203,137
139,1.8098958525931266,1,0.007194244604316547,138
140,1.8098958525931266,1,0.007142857142857143,139
141,1.8098958525931266,1,0.0070921985815602835,140
142,1.8098958525931266,1,0.007042253521126761,141
143,1.8098958525931266,1,0.006993006993006993,142
144,1.8098958525931266,1,0.006944444444444444,143
145,1.8098958525931266,1,0.006896551724137931,144
146,1.8098958525931266,1,0.00684931506849315,145
147,1.8098958525931266,1,0.006802721088435374,146
148,1.8098958525931266,1,0.006756756756756757,147
149,1.8098958525931266,1,0.006711409395973154,148
150,1.8098958525931266,1,0.006666666666666667,149
151,1.8098958525931266,1,0.006622516556291391,150
