NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,4.657868570801307,0,0.0,2
3,5.182235712211256,0,0.0,3
4,5.436592971228907,0,0.0,4
5,4.581115853059737,0,0.0,5
6,4.605044506011969,0,0.0,6
7,4.083166544606714,0,0.0,7
8,2.7148161810763294,0,0.0,8
9,2.7646801750921335,0,0.0,9
10,2.2539818715676576,0,0.0,10
11,2.25947396706761,0,0.0,11
12,2.1748311403234992,0,0.0,12
13,2.0747135438645774,0,0.0,13
14,1.9988090414288222,0,0.0,14
15,1.9148875636564386,0,0.0,15
16,1.8234838310382675,0,0.0,16
17,1.7846987663332348,0,0.0,17
18,1.706498689611954,0,0.0,18
19,1.6661343686984604,0,0.0,19
20,1.6122057591941772,0,0.0,20
21,1.5511300679346849,0,0.0,21
22,1.4998655384118522,0,0.0,22
23,1.4668459357966344,0,0.0,23
24,1.4170454254408866,0,0.0,24
25,1.4016542278003263,0,0.0,25
26,1.3834232016625594,0,0.0,26
27,1.3600570197103496,0,0.0,27
28,1.3416670268043343,0,0.0,28
29,1.3334476627141658,0,0.0,29
30,1.3084327288117394,0,0.0,30
31,1.2972845691645514,0,0.0,31
32,1.295249093569014,0,0.0,32
33,1.2776618573627645,0,0.0,33
34,1.2578097751243342,0,0.0,34
35,1.290263688184732,0,0.0,35
36,1.2783230728432722,0,0.0,36
37,1.2775489140201122,0,0.0,37
38,1.3189051171736235,0,0.0,38
39,1.3108319251650544,0,0.0,39
40,1.3026107846061055,0,0.0,40
41,1.3656747737889565,0,0.0,41
42,1.337915425248178,0,0.0,42
43,1.3292684260968308,0,0.0,43
44,1.3167773937687897,0,0.0,44
45,1.3239848752112737,0,0.0,45
46,1.3149165154475453,0,0.0,46
47,1.311231626681978,0,0.0,47
48,1.299671097763108,0,0.0,48
49,1.2769486700884922,0,0.0,49
50,1.2836163788934045,0,0.0,50
51,1.2754220051518477,0,0.0,51
52,1.2647877374978884,0,0.0,52
53,1.2554664479790991,0,0.0,53
54,1.2426702304343185,0,0.0,54
55,1.2200762262446037,0,0.0,55
56,1.223817717275013,0,0.0,56
57,1.2110364529372497,0,0.0,57
58,1.2118480400686853,0,0.0,58
59,1.2010491672730486,0,0.0,59
60,1.2020288812129853,0,0.0,60
61,1.196281722654053,0,0.0,61
62,1.1933240115773964,0,0.0,62
63,1.1763824198829498,0,0.0,63
64,1.166037158857993,0,0.0,64
65,1.1704544474838734,0,0.0,65
66,1.2616520981204724,0,0.0,66
67,1.2505447447194533,0,0.0,67
68,1.2624344751539414,0,0.0,68
69,1.2574419279480684,0,0.0,69
70,1.2483020012462893,0,0.0,70
71,1.23439896638215,0,0.0,71
72,1.2382645265469203,0,0.0,72
73,1.2219399251894416,0,0.0,73
74,1.223716520700033,0,0.0,74
75,1.2174003004240328,0,0.0,75
76,1.2135377458637975,0,0.0,76
77,1.2236029971058684,0,0.0,77
78,1.2287442927859262,0,0.0,78
79,1.2173478835219014,0,0.0,79
80,1.2731151619620045,0,0.0,80
81,1.279260807134232,0,0.0,81
82,1.2868307972911315,0,0.0,82
83,1.2927642097250218,0,0.0,83
84,1.299563313048401,0,0.0,84
85,1.3038821760321453,0,0.0,85
86,1.284035912989218,0,0.0,86
87,1.2994461724707946,0,0.0,87
88,1.3129625669755458,0,0.0,88
89,1.307971828209964,0,0.0,89
