NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7418793549627691,0,0.0,2
3,0.7907780594084409,0,0.0,3
4,0.7994212459852363,0,0.0,4
5,0.8352837075368409,0,0.0,5
6,0.8115580973255151,0,0.0,6
7,0.855450505478414,0,0.0,7
8,0.8771288491202561,0,0.0,8
9,0.8391299654512459,0,0.0,9
10,0.8383603357035818,0,0.0,10
11,0.8531099916055834,0,0.0,11
12,0.851580950646055,0,0.0,12
13,0.8457807118344465,0,0.0,13
14,0.8342726690128615,0,0.0,14
15,0.8067369272929433,0,0.0,15
16,0.7839036799261518,0,0.0,16
17,0.770350571129276,0,0.0,17
18,0.7630176035194635,0,0.0,18
19,0.7790050739509465,0,0.0,19
20,0.7983164352323442,0,0.0,20
21,0.7930585700249717,0,0.0,21
22,0.7832050476777487,0,0.0,22
23,0.7546000435990826,0,0.0,23
24,0.7600919208950311,0,0.0,24
25,0.7508120305395775,0,0.0,25
26,0.7486228233420855,0,0.0,26
27,0.7737352591505897,0,0.0,27
28,0.7677168429970854,0,0.0,28
29,0.7892274781912654,0,0.0,29
30,0.778308580300626,0,0.0,30
31,0.7721861400377508,0,0.0,31
32,0.7687539768969163,0,0.0,32
33,0.789159740796855,0,0.0,33
34,0.7942490290789279,0,0.0,34
35,0.7845392081000246,0,0.0,35
36,0.7642728021462568,0,0.0,36
37,0.7565509347051304,0,0.0,37
38,0.7569299046161149,0,0.0,38
39,0.7571919796676122,0,0.0,39
40,0.7552527117047523,0,0.0,40
41,0.7495507397478524,0,0.0,41
42,0.7565093760770356,0,0.0,42
43,0.748496970516545,0,0.0,43
44,0.7378843574539334,0,0.0,44
45,0.7433761637934689,0,0.0,45
46,0.7410370020593958,0,0.0,46
47,0.7440254113330428,0,0.0,47
48,0.7479244709116468,0,0.0,48
49,0.7732671990610287,0,0.0,49
50,0.7720957169982977,0,0.0,50
51,0.7545919703591016,0,0.0,51
52,0.751116020963755,0,0.0,52
53,0.7513879441589777,0,0.0,53
54,0.7617046006552555,0,0.0,54
55,0.741264643143468,0,0.0,55
56,0.7311722614773573,0,0.0,56
57,0.7249402626331866,0,0.0,57
58,0.7193211722976307,0,0.0,58
59,0.733064343545277,0,0.0,59
60,0.7267384634792632,0,0.0,60
61,0.7167630121228152,0,0.0,61
62,0.711840095177966,0,0.0,62
63,0.7338120444337937,0,0.0,63
64,0.7281956993328403,0,0.0,64
65,0.7218146360273999,0,0.0,65
66,0.7194360835092601,0,0.0,66
67,0.726681450427457,0,0.0,67
68,0.7280772661799491,0,0.0,68
69,0.7424980336716922,0,0.0,69
70,0.74437811667139,0,0.0,70
71,0.7777969584938107,0,0.0,71
72,0.7732701231270229,0,0.0,72
73,0.7627915369654656,0,0.0,73
74,0.7571237419937765,0,0.0,74
75,0.7518240804046195,0,0.0,75
76,0.7600779359438484,0,0.0,76
77,0.7604229368530446,0,0.0,77
78,0.7617066433699472,0,0.0,78
79,0.7678472391830261,0,0.0,79
80,0.7556011022951921,0,0.0,80
81,0.770334965050693,0,0.0,81
82,0.8132965120400971,0,0.0,82
83,0.8217708512524654,1,0.012048192771084338,82
84,0.8203104286077378,1,0.011904761904761904,83
85,0.8108956015101559,1,0.011764705882352941,84
86,0.8528381239760555,1,0.011627906976744186,85
87,0.8433227432406986,1,0.011494252873563218,86
88,0.8387705695218959,1,0.011363636363636364,87
89,0.8444409490040582,1,0.011235955056179775,88
90,0.849987003554967,2,0.022222222222222223,88
91,0.849453662445115,2,0.02197802197802198,89
92,0.8441966874817112,2,0.021739130434782608,90
93,0.8401381350992303,2,0.021505376344086023,91
94,0.8669121832034797,2,0.02127659574468085,92
95,0.8623618658500961,2,0.021052631578947368,93
96,0.8529433236868847,2,0.020833333333333332,94
97,0.8448165939337664,2,0.020618556701030927,95
98,0.8363744364481392,2,0.02040816326530612,96
99,0.8221542040453443,2,0.020202020202020204,97
100,0.8182232602954892,2,0.02,98
101,0.8226479230267089,2,0.019801980198019802,99
102,0.8146357963536184,2,0.0196078431372549,100
103,0.806772943037194,2,0.019417475728155338,101
104,0.7986927127756899,2,0.019230769230769232,102
105,0.7933139330450996,2,0.01904761904761905,103
106,0.7990982826064195,2,0.018867924528301886,104
107,0.8008909069830801,2,0.018691588785046728,105
108,0.7841575362581151,2,0.018518518518518517,106
109,0.7778153308140695,2,0.01834862385321101,107
110,0.7709769663348073,2,0.01818181818181818,108
111,0.7788533361997277,2,0.018018018018018018,109
112,0.7785957171265159,2,0.017857142857142856,110
113,0.7708110181358636,2,0.017699115044247787,111
114,0.764049517976777,2,0.017543859649122806,112
115,0.7715426315226971,2,0.017391304347826087,113
116,0.7814190553217064,2,0.017241379310344827,114
117,0.7760856224335501,2,0.017094017094017096,115
118,0.7706856501153749,2,0.01694915254237288,116
119,0.7667303085177668,2,0.01680672268907563,117
120,0.7649672120314415,2,0.016666666666666666,118
121,0.7675430226572381,2,0.01652892561983471,119
122,0.7737464320974161,2,0.01639344262295082,120
123,0.7682230481851955,2,0.016260162601626018,121
124,0.7685835491681215,2,0.016129032258064516,122
125,0.7651015474414433,2,0.016,123
126,0.7588025555683253,2,0.015873015873015872,124
127,0.7544984369195943,2,0.015748031496062992,125
128,0.7530671425649729,2,0.015625,126
129,0.7427874292658965,2,0.015503875968992248,127
130,0.7314326541689794,2,0.015384615384615385,128
131,0.7262326957038582,2,0.015267175572519083,129
132,0.7352150598417438,2,0.015151515151515152,130
133,0.7296013784758304,2,0.015037593984962405,131
134,0.7299253672410546,2,0.014925373134328358,132
135,0.7356422106444485,2,0.014814814814814815,133
136,0.7321700392928051,2,0.014705882352941176,134
137,0.7268257324366533,2,0.014598540145985401,135
138,0.7155016515066961,2,0.014492753623188406,136
139,0.7074422014615982,2,0.014388489208633094,137
140,0.6910795190702057,2,0.014285714285714285,138
141,0.6950434941122611,2,0.014184397163120567,139
142,0.6901488216185128,2,0.014084507042253521,140
143,0.6829916037517166,2,0.013986013986013986,141
144,0.6803319398367741,2,0.013888888888888888,142
145,0.6789158574930723,2,0.013793103448275862,143
146,0.67987399147465,2,0.0136986301369863,144
147,0.6769118857125397,2,0.013605442176870748,145
148,0.672768132184998,2,0.013513513513513514,146
149,0.689505706241922,2,0.013422818791946308,147
150,0.6879248745495156,2,0.013333333333333334,148
151,0.6833690806783267,2,0.013245033112582781,149
152,0.6820889537866116,2,0.013157894736842105,150
153,0.6776308560494442,2,0.013071895424836602,151
154,0.6742046816595128,2,0.012987012987012988,152
155,0.6726813949268401,2,0.012903225806451613,153
156,0.6855820602490089,2,0.01282051282051282,154
157,0.6924325637576847,2,0.012738853503184714,155
158,0.693851766940653,2,0.012658227848101266,156
159,0.690555697428533,2,0.012578616352201259,157
160,0.6862397243196046,2,0.0125,158
161,0.6820463788959494,2,0.012422360248447204,159
162,0.6778362160632584,2,0.012345679012345678,160
163,0.6766548980830014,2,0.012269938650306749,161
164,0.6810255834205885,2,0.012195121951219513,162
165,0.6768515355956618,2,0.012121212121212121,163
166,0.6734886632042103,2,0.012048192771084338,164
167,0.6870872008164273,2,0.011976047904191617,165
168,0.6830635336158003,2,0.011904761904761904,166
169,0.6807968854878962,2,0.011834319526627219,167
170,0.6679126461054744,2,0.011764705882352941,168
171,0.6661506516949495,2,0.011695906432748537,169
172,0.6628590781385836,2,0.011627906976744186,170
173,0.6675627094879981,2,0.011560693641618497,171
174,0.6637261421920901,2,0.011494252873563218,172
175,0.6643053034657317,2,0.011428571428571429,173
176,0.6651187972498758,2,0.011363636363636364,174
177,0.6623026835177673,2,0.011299435028248588,175
178,0.6636380617002517,2,0.011235955056179775,176
179,0.6870255585622616,2,0.0111731843575419,177
180,0.6880223062302965,2,0.011111111111111112,178
181,0.6854488251031801,2,0.011049723756906077,179
182,0.656468947553773,2,0.01098901098901099,180
183,0.6590747638695084,3,0.01639344262295082,180
184,0.6535087088208732,3,0.016304347826086956,181
185,0.6558278193440673,3,0.016216216216216217,182
186,0.650509748630748,3,0.016129032258064516,183
187,0.6511309086202449,3,0.016042780748663103,184
188,0.64766744634035,3,0.015957446808510637,185
189,0.6538148345053418,3,0.015873015873015872,186
190,0.6539701950254891,3,0.015789473684210527,187
191,0.653704555255121,3,0.015706806282722512,188
192,0.653989080140945,3,0.015625,189
193,0.6513777377567951,3,0.015544041450777202,190
194,0.6480342816484985,3,0.015463917525773196,191
195,0.6503032145142816,3,0.015384615384615385,192
196,0.640182619882406,3,0.015306122448979591,193
197,0.6420091040454394,3,0.015228426395939087,194
198,0.6391305672751565,3,0.015151515151515152,195
199,0.6386974547585506,3,0.01507537688442211,196
200,0.6437182531990436,3,0.015,197
201,0.6411790247420003,3,0.014925373134328358,198
