NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,1.746973127481041,0,0.0,2,............ 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
3,2.163357755599134,0,0.0,3,............ 2 2 0 2 2 2 1 2 2 0 2 2 2 2 2 2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 0 1 2 2 2 2 2 0 2 2 2 0 2 2 2 2 2 0 2 0 2 0 2 2 0 0 2 0 0 2 0 2 2 0 2 2 0 0 2 2 1 2 2 2 2 2 2 2 0 2 0 2
4,3.915860531328459,0,0.0,4,............ 2 2 0 2 2 2 1 2 2 0 2 2 2 2 2 2 1 2 2 2 0 2 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 0 2 2 2 2 2 2 2 2 0 3 2 2 2 2 2 0 2 2 2 0 2 2 0 2 2 0 2 0 2 0 2 0 0 0 2 0 0 2 0 2 2 0 2 2 0 0 2 2 1 2 2 2 2 0 2 2 1 2 0 0
5,3.735222836677972,0,0.0,5,............ 2 2 0 2 0 0 4 2 2 1 2 2 2 0 2 2 1 2 2 2 1 2 0 0 0 0 2 2 2 2 0 0 0 2 2 0 2 0 2 1 2 0 2 2 2 2 2 2 0 4 2 0 2 2 0 0 2 2 2 0 0 2 0 2 2 1 2 0 2 0 2 0 0 0 2 1 0 2 1 2 2 0 2 2 1 1 0 2 4 2 2 2 2 0 0 2 1 2 0 0
6,3.526216537212379,0,0.0,6,............ 2 2 0 5 5 5 4 2 5 0 2 2 5 5 2 2 1 2 5 2 1 2 5 5 5 5 5 5 2 2 5 5 5 2 5 0 2 0 2 0 5 5 2 2 5 2 5 2 0 4 2 5 2 5 5 0 2 2 2 0 5 2 5 2 2 0 5 0 5 0 2 5 0 0 2 0 0 2 0 2 2 0 2 2 0 1 5 2 4 2 2 5 2 5 5 2 1 5 0 5
7,2.908158107254845,0,0.0,7,............ 2 2 0 5 5 5 6 2 5 1 5 2 5 5 2 2 6 2 5 2 1 2 5 0 5 5 5 5 2 2 5 5 5 2 5 0 2 0 2 1 5 5 5 2 5 2 5 2 0 4 2 5 2 5 5 0 2 2 2 0 5 2 0 2 2 1 5 0 5 0 2 0 0 0 2 1 0 2 1 2 2 1 2 2 1 1 5 2 4 2 2 5 5 0 5 2 6 5 0 0
8,2.650436763135014,0,0.0,8,............ 2 5 1 5 0 0 4 2 5 1 5 2 5 0 2 2 6 2 5 2 6 2 0 0 0 0 5 5 2 2 0 0 0 5 5 1 2 1 5 1 5 0 5 2 5 2 5 2 1 3 2 0 5 5 0 1 5 2 2 1 0 2 0 2 2 6 5 1 5 1 5 0 1 1 5 1 1 2 6 5 5 1 2 2 1 6 0 2 3 5 5 5 5 0 0 2 4 5 1 0
9,2.4047696753625765,0,0.0,9,............ 2 8 1 5 0 0 4 8 5 1 5 8 5 0 2 2 6 8 5 2 6 8 0 0 0 0 5 5 2 2 0 0 0 5 5 1 8 1 5 1 5 0 5 8 5 2 5 2 1 3 8 0 5 5 0 1 5 8 2 1 5 2 0 2 2 6 5 1 5 1 8 0 1 1 8 1 1 8 6 5 5 1 8 2 1 6 0 2 3 8 8 5 5 0 5 8 4 5 1 0
10,2.4203874433432038,0,0.0,10,............ 2 8 9 5 0 0 4 8 5 1 5 8 5 0 2 2 6 8 5 2 1 8 0 9 0 0 5 5 2 2 0 0 0 5 5 9 8 9 5 1 5 0 5 8 5 2 5 2 9 3 8 0 5 5 0 9 5 8 2 9 0 2 0 2 2 1 5 9 5 9 8 0 9 9 8 1 9 8 1 5 5 9 8 2 1 1 0 2 4 8 8 5 5 0 0 8 6 5 9 0
11,2.250942056409904,0,0.0,11,............ 2 8 9 5 0 0 4 10 5 1 5 8 5 0 2 2 6 10 5 2 1 10 5 0 5 5 5 5 2 2 0 5 0 8 5 9 10 9 8 1 5 5 5 8 5 2 5 2 9 3 8 0 8 5 5 9 8 8 2 9 5 2 0 2 2 1 5 9 5 9 8 0 9 9 8 1 9 10 1 8 8 9 10 2 1 1 0 2 4 8 8 5 8 0 5 10 6 5 9 0
