NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.6988926123415902,0,0.0,2
3,2.8251481036486656,0,0.0,3
4,3.0313222919271334,0,0.0,4
5,1.2068436107928529,0,0.0,5
6,1.6803488006964908,0,0.0,6
7,1.5890433426645174,0,0.0,7
8,1.6559234898215935,0,0.0,8
9,1.5067454943084606,0,0.0,9
10,1.377175752000474,0,0.0,10
11,1.3058589999419559,0,0.0,11
12,1.3666379875845849,0,0.0,12
13,1.3159704672391541,0,0.0,13
14,1.2792294676147027,0,0.0,14
15,1.247573047185945,0,0.0,15
16,1.2593213489074346,0,0.0,16
17,1.3600363747362114,0,0.0,17
18,1.3537752090083082,0,0.0,18
19,1.332024003134723,0,0.0,19
20,1.3032682676753538,0,0.0,20
21,1.3593291186689052,0,0.0,21
22,1.3527562881443402,0,0.0,22
23,1.3111551647104882,0,0.0,23
24,1.2909872445750412,0,0.0,24
25,1.3037865740908356,0,0.0,25
26,1.305020352229357,0,0.0,26
27,1.30085581548395,0,0.0,27
28,1.2961813506008795,0,0.0,28
29,1.3011711236950017,0,0.0,29
30,1.3180937469335017,0,0.0,30
31,1.3576461323938294,0,0.0,31
32,1.348443674353542,0,0.0,32
33,1.2930526045585928,0,0.0,33
34,1.2971298368347235,0,0.0,34
35,1.3391438142857044,0,0.0,35
36,1.3380864126116159,0,0.0,36
37,1.4088749472334021,0,0.0,37
38,1.4628725621410883,0,0.0,38
39,1.5165761450489474,0,0.0,39
40,1.5114603153977684,0,0.0,40
41,1.6128068117701806,0,0.0,41
42,1.6462445339230605,0,0.0,42
43,1.6777098478910626,0,0.0,43
44,1.701579947438862,0,0.0,44
45,1.740495454779727,0,0.0,45
46,1.7473226286876775,0,0.0,46
47,1.719720019566663,0,0.0,47
48,1.7061288816527398,0,0.0,48
49,1.8895638931382848,0,0.0,49
50,1.9150107105136143,0,0.0,50
51,1.965152112703979,0,0.0,51
52,1.9674248284853126,0,0.0,52
53,1.9300585673254573,0,0.0,53
54,1.9106621690643282,0,0.0,54
55,1.8754033763800417,0,0.0,55
56,1.9186997446589698,0,0.0,56
57,1.8078453631737244,0,0.0,57
58,1.7642235082531048,0,0.0,58
59,1.749010680429606,0,0.0,59
60,1.7257190882810316,0,0.0,60
61,1.863184531278246,1,0.01639344262295082,60
62,1.832441923630901,1,0.016129032258064516,61
63,1.8679058084409925,1,0.015873015873015872,62
64,1.932469780184102,1,0.015625,63
65,1.9312229923570938,1,0.015384615384615385,64
66,1.953308839274242,1,0.015151515151515152,65
67,1.9694286078422885,1,0.014925373134328358,66
68,1.9543553113217318,1,0.014705882352941176,67
69,1.8873839783074073,1,0.014492753623188406,68
70,1.8247070643315872,2,0.02857142857142857,68
71,1.8215421761015647,2,0.028169014084507043,69
72,1.8101318681001541,3,0.041666666666666664,69
73,1.7675273219617957,3,0.0410958904109589,70
74,1.6652634392325825,4,0.05405405405405406,70
75,1.6430599267094814,4,0.05333333333333334,71
76,1.612668787322953,4,0.05263157894736842,72
77,1.5159674610806637,4,0.05194805194805195,73
78,1.515762750041168,4,0.05128205128205128,74
79,1.4965758797874822,4,0.05063291139240506,75
80,1.5487020146234722,4,0.05,76
81,1.5295822366651577,4,0.04938271604938271,77
82,1.510928794754607,4,0.04878048780487805,78
83,1.5107971225286478,5,0.060240963855421686,78
84,1.4928114424985448,5,0.05952380952380952,79
85,1.4870136608220914,6,0.07058823529411765,79
86,1.4697228043009043,6,0.06976744186046512,80
87,1.4528294387342273,6,0.06896551724137931,81
88,1.4363200132940657,6,0.06818181818181818,82
89,1.4052003127701622,6,0.06741573033707865,83
90,1.3895869759616049,6,0.06666666666666667,84
91,1.3798112949070818,7,0.07692307692307693,84
92,1.364813346049396,7,0.07608695652173914,85
93,1.364813346049396,7,0.07526881720430108,86
94,1.364813346049396,7,0.07446808510638298,87
95,1.364813346049396,7,0.07368421052631578,88
96,1.364813346049396,7,0.07291666666666667,89
97,1.364813346049396,7,0.07216494845360824,90
98,1.364813346049396,7,0.07142857142857142,91
99,1.364813346049396,7,0.0707070707070707,92
100,1.364813346049396,7,0.07,93
101,1.364813346049396,7,0.06930693069306931,94
102,1.364813346049396,7,0.06862745098039216,95
