NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.6738726538413741,0,0.0,2
3,0.6006136263147624,0,0.0,3
4,0.5787434337928701,0,0.0,4
5,0.5749490683688679,0,0.0,5
6,0.6185415393312185,0,0.0,6
7,0.7239875058726595,0,0.0,7
8,0.5832751490072672,0,0.0,8
9,0.5718445597893984,0,0.0,9
10,0.5987263034698557,0,0.0,10
11,0.9519309536664657,0,0.0,11
12,0.934771479973936,0,0.0,12
13,0.8795940374923623,0,0.0,13
14,0.8599394591756215,0,0.0,14
15,0.8232590580972585,0,0.0,15
16,0.8268317053189647,0,0.0,16
17,0.842736841355382,0,0.0,17
18,0.7734114984783852,0,0.0,18
19,0.817629389075299,0,0.0,19
20,0.801256053979013,0,0.0,20
21,0.8242767349201985,0,0.0,21
22,1.0766615469093657,0,0.0,22
23,0.8021933869977855,0,0.0,23
24,0.7733827159737253,0,0.0,24
25,0.844268246986126,0,0.0,25
26,0.9107435375722639,0,0.0,26
27,0.9395125682336072,0,0.0,27
28,0.9023337817745658,0,0.0,28
29,0.7741175703245275,0,0.0,29
30,0.768695043852646,0,0.0,30
31,0.753827246632589,0,0.0,31
32,0.7656306289579294,0,0.0,32
33,0.7303881195380872,0,0.0,33
34,0.7539712814652509,0,0.0,34
35,0.8137039150107039,0,0.0,35
36,0.8087697731713741,0,0.0,36
37,0.8016892413307719,0,0.0,37
38,0.7947851669839555,0,0.0,38
39,0.8120108660462064,0,0.0,39
40,0.8203385455784382,0,0.0,40
41,0.7827429551332639,0,0.0,41
42,0.769312620230865,0,0.0,42
43,0.8621142841928731,0,0.0,43
44,0.8670584454904857,0,0.0,44
45,0.801958919117034,0,0.0,45
46,0.819987341512044,0,0.0,46
47,0.9213701962506653,0,0.0,47
48,0.9097335927713714,0,0.0,48
49,0.9022311578458335,0,0.0,49
50,0.8913687780941488,0,0.0,50
51,0.8805330539395941,0,0.0,51
52,0.9018060957438003,0,0.0,52
53,0.8957926793728566,0,0.0,53
