NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
25,0.9588268444168747,0,0.0,25
26,1.012766037635064,0,0.0,26
27,0.8575964640577074,0,0.0,27
28,0.8396960843384624,0,0.0,28
29,0.8787842159677914,0,0.0,29
30,0.8729693813559458,0,0.0,30
31,0.8462325028581903,0,0.0,31
32,0.8318990836591393,0,0.0,32
33,0.8005094132424836,0,0.0,33
34,0.9137024245150656,0,0.0,34
35,0.9192142740905792,0,0.0,35
36,0.9529061767670896,0,0.0,36
37,0.9440212016431428,0,0.0,37
38,0.9276915879935731,0,0.0,38
39,0.9000398972307377,0,0.0,39
40,0.8925100953962227,0,0.0,40
41,0.8774327995465547,0,0.0,41
42,0.8666427828182112,0,0.0,42
43,0.8686452526732612,0,0.0,43
44,0.8565625114936188,0,0.0,44
45,0.8924107043923778,0,0.0,45
46,0.8859208540725529,0,0.0,46
47,0.880478164548758,0,0.0,47
48,0.86741402269207,0,0.0,48
49,0.8522385520276653,0,0.0,49
50,0.8781218305473497,0,0.0,50
51,0.8612092314772812,0,0.0,51
52,0.8473981303346148,0,0.0,52
53,0.8703030534407299,0,0.0,53
54,0.866089705293137,0,0.0,54
55,0.8540541052395381,0,0.0,55
56,0.8427757288262472,0,0.0,56
57,0.8297593815697057,0,0.0,57
58,0.8151428213286117,0,0.0,58
59,0.8125974015468892,0,0.0,59
60,0.8027622850412274,0,0.0,60
61,0.7825840439137288,0,0.0,61
62,0.7825840439137289,0,0.0,62
63,0.8768631378750333,0,0.0,63
64,0.8790548061302704,0,0.0,64
65,0.842264718874899,0,0.0,65
66,0.8390117027152997,0,0.0,66
67,0.8648270000759046,0,0.0,67
68,0.8592975140262819,0,0.0,68
69,0.8386058176975787,0,0.0,69
70,0.8401577358060457,0,0.0,70
71,0.8754507581123849,0,0.0,71
72,0.8770044227393883,0,0.0,72
73,0.8785211618274696,0,0.0,73
74,0.8777504841462418,0,0.0,74
75,0.8959232850661649,0,0.0,75
76,0.8860890626964458,0,0.0,76
77,0.9145770493621518,0,0.0,77
78,0.9078877857868282,0,0.0,78
79,0.9064752626668183,0,0.0,79
80,0.927808676745243,0,0.0,80
81,0.9209455373553084,0,0.0,81
82,0.9302143433594252,0,0.0,82
83,0.9021341741497836,0,0.0,83
84,0.8927423471945557,0,0.0,84
85,0.9095463600240932,0,0.0,85
86,0.9129904304814319,0,0.0,86
87,0.9501992677759991,0,0.0,87
88,0.9821973159298171,0,0.0,88
89,0.9773440465232421,0,0.0,89
90,0.9702908081817136,0,0.0,90
91,0.9601684027186288,0,0.0,91
92,0.9584849188116316,0,0.0,92
93,0.94822402492338,0,0.0,93
94,0.9367922099884199,0,0.0,94
95,0.8803765684476837,0,0.0,95
96,0.8827570466106116,0,0.0,96
97,0.8763022235021376,0,0.0,97
98,0.8696042376917327,0,0.0,98
99,0.8678087864153887,0,0.0,99
100,0.8564928378610709,0,0.0,100
101,0.8563209364115831,0,0.0,101
102,0.8845614351567729,0,0.0,102
103,0.8828294376771421,0,0.0,103
104,0.8886627742189993,0,0.0,104
105,0.8908547224908155,0,0.0,105
106,0.9035440196411065,0,0.0,106
107,0.893664046694744,0,0.0,107
108,0.8670361327106131,0,0.0,108
109,0.8707078558379935,0,0.0,109
110,0.8661319124765808,0,0.0,110
111,0.8367836529684557,0,0.0,111
112,0.8472886331514669,0,0.0,112
113,0.8415943886572471,0,0.0,113
114,0.8398649912526409,0,0.0,114
115,0.7936797397719417,0,0.0,115
116,0.7789964685201647,0,0.0,116
117,0.8126334825912069,0,0.0,117
118,0.822062003968904,0,0.0,118
119,0.8400514168999957,0,0.0,119
120,0.8397424681941092,0,0.0,120
121,0.8807302098261225,0,0.0,121
122,0.8779340924471833,0,0.0,122
123,0.8441474086003081,0,0.0,123
124,0.832560138479802,0,0.0,124
