NumberOfGroups, ComputingTime
2 , 5.0E-4
3 , 8.0E-4
4 , 5.0E-4
5 , 8.0E-4
6 , 6.0E-4
7 , 7.0E-4
8 , 0.0014
9 , 0.001
10 , 8.0E-4
11 , 0.0011
12 , 9.0E-4
13 , 0.0011
14 , 0.0012
15 , 0.0012
16 , 0.0011
17 , 0.0014
18 , 0.0013
19 , 0.0015
20 , 0.0014
21 , 0.0013
22 , 0.0016
23 , 0.0018
24 , 0.0016
25 , 0.0017
26 , 0.0017
27 , 0.0018
28 , 0.0019
29 , 0.0018
30 , 0.0019
31 , 0.0019
32 , 0.002
33 , 0.002
34 , 0.0022
35 , 0.0022
36 , 0.0021
37 , 0.0023
38 , 0.0023
39 , 0.0023
40 , 0.0024
41 , 0.0024
42 , 0.0024
43 , 0.0025
44 , 0.0026
45 , 0.0026
46 , 0.0029
47 , 0.0029
48 , 0.0028
49 , 0.0029
50 , 0.0029
51 , 0.003
52 , 0.003
53 , 0.003
54 , 0.0033
55 , 0.0031
56 , 0.0033
57 , 0.0033
58 , 0.0033
59 , 0.0034
60 , 0.0034
61 , 0.0035
62 , 0.0036
63 , 0.0037
64 , 0.0036
65 , 0.0037
66 , 0.0036
67 , 0.0038
68 , 0.0038
69 , 0.0038
70 , 0.0039
71 , 0.004
72 , 0.0041
73 , 0.0039
74 , 0.0039
75 , 0.004
76 , 0.0042
77 , 0.0042
78 , 0.0042
79 , 0.0042
80 , 0.0042
81 , 0.0043
82 , 0.0044
83 , 0.0044
84 , 0.0045
85 , 0.0045
86 , 0.0047
87 , 0.0047
88 , 0.0046
89 , 0.0046
90 , 0.0048
91 , 0.0047
92 , 0.0049
93 , 0.0048
94 , 0.0049
95 , 0.005
96 , 0.0051
97 , 0.0052
98 , 0.005
99 , 0.0051
100 , 0.0053
101 , 0.0051
102 , 0.0053
103 , 0.0053
104 , 0.0055
105 , 0.0056
106 , 0.0056
107 , 0.0056
108 , 0.0056
109 , 0.0055
110 , 0.0056
111 , 0.0056
112 , 0.0057
113 , 0.0057
114 , 0.0059
115 , 0.0058
116 , 0.006
117 , 0.0061
118 , 0.006
119 , 0.0061
120 , 0.0061
121 , 0.0061
122 , 0.0062
123 , 0.0062
124 , 0.0064
125 , 0.0064
126 , 0.0064
127 , 0.0064
128 , 0.0065
129 , 0.0066
130 , 0.0066
131 , 0.0067
132 , 0.0066
133 , 0.0067
134 , 0.0068
135 , 0.0068
136 , 0.0069
137 , 0.007
138 , 0.007
139 , 0.0071
140 , 0.0069
141 , 0.007
142 , 0.0071
143 , 0.0074
144 , 0.0072
145 , 0.0073
146 , 0.0074
147 , 0.0074
148 , 0.0075
149 , 0.0075
150 , 0.0075
151 , 0.0077
152 , 0.0075
153 , 0.0078
154 , 0.0077
155 , 0.0077
156 , 0.0078
157 , 0.0077
158 , 0.0078
159 , 0.0079
160 , 0.008
161 , 0.0082
162 , 0.0081
163 , 0.008
164 , 0.0083
165 , 0.0083
166 , 0.0083
167 , 0.0084
168 , 0.0085
169 , 0.0083
170 , 0.0084
171 , 0.0084
172 , 0.0085
173 , 0.0087
174 , 0.0088
175 , 0.009
176 , 0.0087
177 , 0.0088
178 , 0.0089
179 , 0.0088
180 , 0.009
181 , 0.0089
182 , 0.009
183 , 0.0093
184 , 0.009
185 , 0.0092
186 , 0.0094
187 , 0.0093
188 , 0.0094
189 , 0.0092
190 , 0.0095
191 , 0.0094
192 , 0.0094
193 , 0.0095
194 , 0.0096
195 , 0.0097
196 , 0.01
197 , 0.0098
198 , 0.0098
199 , 0.0098
200 , 0.01
201 , 0.0099
