NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.0361329659098228,0,0.0,2
3,1.0533305048674766,0,0.0,3
4,0.752264171216451,0,0.0,4
5,0.755409414875911,0,0.0,5
6,0.8764588225255157,0,0.0,6
7,0.8980560945227388,0,0.0,7
8,0.8976555406048018,0,0.0,8
9,0.770404199895666,0,0.0,9
10,0.8496188397164902,0,0.0,10
11,0.9635123037483652,0,0.0,11
12,0.9240674708872033,0,0.0,12
13,0.7677334266544857,0,0.0,13
14,0.9449654739787772,0,0.0,14
15,0.8332624572906147,0,0.0,15
16,0.8664594355290852,0,0.0,16
17,0.9317806143078803,0,0.0,17
18,0.895365324774431,0,0.0,18
19,0.8679351749958449,0,0.0,19
20,0.7469783788158542,0,0.0,20
21,0.8098907112799127,0,0.0,21
22,0.7886306698089461,0,0.0,22
23,0.7492721070478278,0,0.0,23
24,0.7079573989293343,0,0.0,24
25,0.7567622698478257,0,0.0,25
26,0.8336024962901301,0,0.0,26
27,0.7844561178747589,0,0.0,27
28,0.7609209118279265,0,0.0,28
29,0.7351273503294382,0,0.0,29
30,0.8379054474500034,0,0.0,30
31,0.7825053067203738,0,0.0,31
32,0.7943324982986757,0,0.0,32
33,0.7600862182359855,0,0.0,33
34,0.7850649303892625,0,0.0,34
35,0.730344623313257,0,0.0,35
36,0.6804527209533344,0,0.0,36
37,0.781751721310425,0,0.0,37
38,0.781399246099707,0,0.0,38
39,0.7537305034977883,0,0.0,39
40,0.7432184810754843,0,0.0,40
41,0.6849661450602161,0,0.0,41
42,0.8636215363226745,0,0.0,42
43,0.710599317579701,0,0.0,43
44,0.7507051390533955,0,0.0,44
45,0.741060497534181,0,0.0,45
46,0.740100303448507,0,0.0,46
47,0.7102294817841246,0,0.0,47
48,0.7311687318240127,0,0.0,48
49,0.735825366979858,0,0.0,49
50,0.7263524609330964,0,0.0,50
51,0.7363608361661804,0,0.0,51
52,0.7768222908814925,0,0.0,52
53,0.7285469918304859,0,0.0,53
54,0.6898067138565941,0,0.0,54
55,0.7743126208588127,0,0.0,55
56,0.6494681355488582,0,0.0,56
57,0.7384197247795254,0,0.0,57
58,0.7752683780140213,0,0.0,58
59,0.7096061213424568,0,0.0,59
60,0.6569476308625765,0,0.0,60
61,0.7575061886384954,0,0.0,61
62,0.78603152927875,0,0.0,62
63,0.7290594695010088,0,0.0,63
64,0.7460057602092829,0,0.0,64
65,0.7514764039686959,0,0.0,65
66,0.7103128031246466,0,0.0,66
67,0.7697225266397963,0,0.0,67
68,0.7401727975285444,0,0.0,68
69,0.7500955905809202,0,0.0,69
70,0.748196242513625,0,0.0,70
71,0.7842152999618988,0,0.0,71
72,0.7182202548347971,0,0.0,72
73,0.7042299688877651,0,0.0,73
74,0.694523664639863,0,0.0,74
