NumberOfGroups, ComputingTime
2 , 3.0E-4
3 , 2.0E-4
4 , 2.0E-4
5 , 2.0E-4
6 , 2.0E-4
7 , 1.0E-4
8 , 2.0E-4
9 , 2.0E-4
10 , 2.0E-4
11 , 1.0E-4
12 , 1.0E-4
13 , 1.0E-4
14 , 2.0E-4
15 , 1.0E-4
16 , 2.0E-4
17 , 1.0E-4
18 , 2.0E-4
19 , 1.0E-4
20 , 2.0E-4
21 , 1.0E-4
22 , 2.0E-4
23 , 2.0E-4
24 , 1.0E-4
25 , 2.0E-4
26 , 1.0E-4
27 , 1.0E-4
28 , 2.0E-4
29 , 1.0E-4
30 , 1.0E-4
31 , 2.0E-4
32 , 1.0E-4
33 , 2.0E-4
34 , 2.0E-4
35 , 1.0E-4
36 , 1.0E-4
37 , 1.0E-4
38 , 2.0E-4
39 , 1.0E-4
40 , 2.0E-4
41 , 1.0E-4
42 , 1.0E-4
43 , 2.0E-4
44 , 1.0E-4
45 , 1.0E-4
46 , 2.0E-4
47 , 2.0E-4
48 , 1.0E-4
49 , 1.0E-4
50 , 2.0E-4
51 , 1.0E-4
52 , 1.0E-4
53 , 2.0E-4
54 , 1.0E-4
55 , 1.0E-4
56 , 2.0E-4
57 , 1.0E-4
58 , 2.0E-4
59 , 1.0E-4
60 , 2.0E-4
61 , 1.0E-4
62 , 1.0E-4
63 , 2.0E-4
64 , 1.0E-4
65 , 1.0E-4
66 , 2.0E-4
67 , 1.0E-4
68 , 2.0E-4
69 , 1.0E-4
70 , 2.0E-4
71 , 1.0E-4
72 , 2.0E-4
73 , 1.0E-4
74 , 1.0E-4
75 , 2.0E-4
76 , 1.0E-4
77 , 2.0E-4
78 , 1.0E-4
79 , 1.0E-4
80 , 2.0E-4
81 , 1.0E-4
82 , 2.0E-4
83 , 1.0E-4
84 , 2.0E-4
85 , 1.0E-4
86 , 1.0E-4
87 , 2.0E-4
88 , 1.0E-4
89 , 2.0E-4
90 , 1.0E-4
91 , 1.0E-4
92 , 2.0E-4
93 , 2.0E-4
94 , 1.0E-4
95 , 1.0E-4
96 , 2.0E-4
97 , 1.0E-4
98 , 1.0E-4
99 , 2.0E-4
100 , 1.0E-4
101 , 2.0E-4
102 , 1.0E-4
103 , 1.0E-4
104 , 2.0E-4
105 , 2.0E-4
106 , 1.0E-4
107 , 2.0E-4
108 , 1.0E-4
109 , 1.0E-4
110 , 2.0E-4
111 , 1.0E-4
112 , 1.0E-4
113 , 2.0E-4
114 , 1.0E-4
115 , 1.0E-4
116 , 2.0E-4
117 , 2.0E-4
118 , 1.0E-4
119 , 2.0E-4
120 , 1.0E-4
121 , 1.0E-4
122 , 2.0E-4
123 , 1.0E-4
124 , 1.0E-4
125 , 2.0E-4
126 , 1.0E-4
127 , 1.0E-4
128 , 2.0E-4
129 , 2.0E-4
130 , 1.0E-4
131 , 2.0E-4
132 , 1.0E-4
133 , 1.0E-4
134 , 2.0E-4
135 , 1.0E-4
136 , 1.0E-4
137 , 2.0E-4
138 , 1.0E-4
139 , 2.0E-4
140 , 2.0E-4
141 , 1.0E-4
142 , 1.0E-4
143 , 2.0E-4
144 , 1.0E-4
145 , 1.0E-4
146 , 2.0E-4
147 , 1.0E-4
148 , 1.0E-4
149 , 2.0E-4
150 , 1.0E-4
151 , 2.0E-4
152 , 2.0E-4
153 , 1.0E-4
154 , 1.0E-4
155 , 2.0E-4
156 , 1.0E-4
157 , 2.0E-4
158 , 1.0E-4
159 , 1.0E-4
160 , 2.0E-4
161 , 1.0E-4
162 , 1.0E-4
163 , 2.0E-4
164 , 2.0E-4
165 , 1.0E-4
166 , 2.0E-4
167 , 1.0E-4
168 , 1.0E-4
169 , 2.0E-4
170 , 1.0E-4
171 , 1.0E-4
172 , 2.0E-4
173 , 1.0E-4
174 , 2.0E-4
175 , 2.0E-4
176 , 1.0E-4
177 , 2.0E-4
178 , 1.0E-4
179 , 1.0E-4
180 , 2.0E-4
181 , 1.0E-4
182 , 2.0E-4
183 , 1.0E-4
184 , 1.0E-4
185 , 2.0E-4
186 , 2.0E-4
187 , 1.0E-4
188 , 2.0E-4
189 , 1.0E-4
190 , 1.0E-4
191 , 2.0E-4
192 , 1.0E-4
193 , 1.0E-4
194 , 2.0E-4
195 , 1.0E-4
196 , 1.0E-4
197 , 3.0E-4
198 , 1.0E-4
199 , 2.0E-4
200 , 1.0E-4
201 , 1.0E-4
