NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.653200195089734,0,0.0,2
3,0.650501956296549,0,0.0,3
4,0.6530531051788869,0,0.0,4
5,0.6520354856152659,0,0.0,5
6,0.6576455158685486,0,0.0,6
7,0.6516206318453639,0,0.0,7
8,0.6514634271034841,0,0.0,8
9,0.657152594069332,0,0.0,9
10,0.6521337877610378,0,0.0,10
11,0.6580905303955056,0,0.0,11
12,0.6503952840727689,0,0.0,12
13,0.6469688263799186,0,0.0,13
14,0.651699021710645,0,0.0,14
15,0.658344652731756,0,0.0,15
16,0.6584056796285299,0,0.0,16
17,0.656614101064171,0,0.0,17
18,0.6483975650769358,0,0.0,18
19,0.6500846762234674,0,0.0,19
20,0.6529800552909613,0,0.0,20
21,0.6570152486187276,0,0.0,21
22,0.6546581422075004,0,0.0,22
23,0.6591693531741172,0,0.0,23
24,0.6556917093971771,0,0.0,24
25,0.6453901780773506,0,0.0,25
26,0.6725207300311542,0,0.0,26
27,0.6505589671733725,0,0.0,27
28,0.6672516933407187,0,0.0,28
29,0.6540016956511405,0,0.0,29
30,0.6486252752234489,0,0.0,30
31,0.6434519540248252,0,0.0,31
32,0.6481137797753079,0,0.0,32
33,0.6500777115382126,0,0.0,33
34,0.6615700374710728,0,0.0,34
35,0.6677181422090829,0,0.0,35
36,0.6426672514794458,0,0.0,36
37,0.6391393622155549,0,0.0,37
38,0.643642620137302,0,0.0,38
39,0.6471521337096198,0,0.0,39
40,0.6439595588040535,0,0.0,40
41,0.6458580149281448,0,0.0,41
42,0.6489264806228681,0,0.0,42
43,0.6516696900079125,0,0.0,43
44,0.6463180917711664,0,0.0,44
45,0.6507695548261097,0,0.0,45
46,0.6430503495479979,0,0.0,46
47,0.6320457668724816,0,0.0,47
48,0.6404321009112988,0,0.0,48
49,0.6586441008464174,0,0.0,49
50,0.6322429876096782,0,0.0,50
51,0.6403065840419149,0,0.0,51
52,0.6545867942289249,0,0.0,52
53,0.6360418514967174,0,0.0,53
54,0.6298076935195442,0,0.0,54
55,0.6441097049681896,0,0.0,55
56,0.6376614642212067,0,0.0,56
57,0.6424740988057835,0,0.0,57
58,0.6474069630852123,0,0.0,58
59,0.6348289191644656,0,0.0,59
60,0.6448342727775849,0,0.0,60
61,0.6155393378018038,0,0.0,61
62,0.6388057190243825,0,0.0,62
63,0.6168188847233302,0,0.0,63
64,0.6284468544235587,0,0.0,64
65,0.6118643045368447,0,0.0,65
66,0.6217468940639912,0,0.0,66
67,0.614276797232448,0,0.0,67
68,0.6083830444988225,0,0.0,68
69,0.6110612536384117,0,0.0,69
70,0.6156613535345113,0,0.0,70
71,0.6096753685472003,0,0.0,71
72,0.601245730763016,0,0.0,72
73,0.606900111794385,0,0.0,73
74,0.6097456306679313,0,0.0,74
75,0.6053570672456372,0,0.0,75
76,0.6024956296681686,0,0.0,76
77,0.5981287241851928,0,0.0,77
78,0.5810934849349498,0,0.0,78
79,0.5812630984847922,0,0.0,79
80,0.5861615001353946,0,0.0,80
81,0.5855602796789029,0,0.0,81
82,0.6035770409630716,0,0.0,82
83,0.5768996811070439,0,0.0,83
84,0.58591651028067,0,0.0,84
85,0.5859630005206704,0,0.0,85
86,0.596467137172134,0,0.0,86
87,0.5891873430294781,0,0.0,87
88,0.5896057091295379,0,0.0,88
89,0.583651596776047,0,0.0,89
90,0.5638146512142258,0,0.0,90
